Tag,Distance_Center,Nationality_Italy,Education_University,Nationality_Spain,Nationality_UK,POI_Restaurants_Hotels,Intercept
02_041,-0.5892440033203291,,,,,0.2758713105943393,
02_042,-0.5674834114587937,,,,,0.28242043969099984,
02_043,-0.5534411475255044,,,,,0.27278175721792425,
02_044,-0.5653352572806013,,,,,0.29825297265235867,
02_045,-0.5787809293980951,,,,,0.30709482598225246,
02_046,-0.592520231873276,,,,,0.3022844675761829,
02_047,-0.5637951480949898,,,,,0.32036411541799953,
02_048,-0.5519213152744232,,,,,0.32038928486003576,
02_049,-0.46914987949174797,,,,,0.32864445385574453,0.27716676968052045
02_050,,,,,,0.3212622601233093,0.3264146586537272
02_051,,,,,,0.333421440369503,0.36625496511796013
02_052,,,,,,0.3450612071153737,0.3752001542277504
02_053,,,,,,0.3482568262181587,0.3821937049099591
02_054,-0.48955377338070655,,,,,0.3246533147343247,0.29663816514724334
02_055,-0.48072875213892413,,,,,0.29428489806363206,
02_056,,,,,,0.3392080129381749,0.37239238643277595
02_057,-0.4444312272162178,,,,,0.2850248494395119,
02_058,-0.4801476344381577,,,,,,
02_059,-0.4462440836134587,,,,,,
02_060,-0.44135680960771084,,,,,0.24203131158827854,
02_061,,,,,,0.3654442061472358,0.4610560565792441
02_062,,,,,,0.33460418602418596,0.40110373927663306
02_063,,,,,,0.25763202033043786,
02_064,,,,,,0.3154178302478632,
02_065,,,,,,0.35655620393548737,0.4693333898684863
02_066,,,,,,0.3646567023653119,0.5040784732329221
02_067,,,,,,0.36387909234527605,0.5409998921228044
02_068,,,,,,0.3570799998380917,0.5478553687992652
02_069,,,,,,0.37450590785841875,0.5566913407632454
02_070,,,,,,0.3642416082970304,0.4966594500562662
02_071,,,,,,0.3678210464112924,0.5198290638654312
02_072,,,,,,0.3651687923601501,0.5351202416394145
02_073,,,,,,0.36608977815290666,0.596794240821595
02_074,,,,,,0.35759240318443153,0.594285453444059
02_075,,,,,,0.35494255019644794,
02_076,,,,,,0.3564814033784449,
02_077,,,,,,0.32186428221838737,
02_078,,,,,,0.3236032486784771,
02_079,,,,,,0.2787731429183166,
02_080,,,,,,,
02_081,,,,,,,
02_082,-0.3878310752546308,,,,,,
02_083,,,,,,,
02_084,,,,,,0.32822676215398644,
02_085,,,,,,0.33255960770834203,
02_086,,,,,,0.3740500917700278,
02_087,,,,,,0.3654226010664475,
02_088,,,,,,0.32438286110451825,
02_089,,,,,,0.3140064287875582,
02_090,,,,,,0.2963201867902489,
02_091,,,,,,0.2652636247909936,
02_092,,,,,,0.27004137251774,
02_093,,,,,,0.28313711858005874,
02_094,,,,,,0.2560580481095974,
02_095,-0.4313522090858485,,,,,0.26943715538704166,
02_096,-0.4256769378525825,,,,,0.2886946890031584,
