Tag,N_district,N_neighbourhood,N_section,Distance_Center,POI_Daily_Food,POI_Daily_Others,POI_House_Equipment,POI_Clothing,POI_Culture,POI_Vehicles,POI_State_Agents,POI_Education,POI_Finances,POI_Restaurants_Hotels,POI_Health,POI_Souvenirs_Thrift_Store,POI_Car_Parks,POI_Esthetics,POI_Sports,POI_Religion,POI_Administration,Airbnb_Number,Airbnb_Price,Airbnb_Price_Person,Airbnb_Location_Score,Percentage_Gender_Female,Percentage_Age_0_14,Percentage_Age_15_24,Percentage_Age_25_39,Percentage_Age_40_64,Percentage_Age_65_Plus,Household,Education_None,Education_Primary_School,Education_Middle_School,Education_High_School,Education_University,Nationality_Spain,Nationality_Italy,Nationality_France,Nationality_UK,Nationality_Russia,Nationality_Germany,Nationality_Romania,Nationality_Ucrany,Nationality_Portugal,Nationality_Netherlands,Nationality_Poland,Nationality_Bulgaria,Nationality_Sweden,Nationality_Belgium,Nationality_Ireland,Nationality_Greece,Nationality_Morocco,Nationality_Argelia,Nationality_Senegal,Nationality_Colombia,Nationality_Honduras,Nationality_Peru,Nationality_Bolivia,Nationality_Venezuela,Nationality_Ecuador,Nationality_Argentina,Nationality_Brazil,Nationality_Dominican_Republic,Nationality_Mexico,Nationality_Paraguay,Nationality_Chile,Nationality_Cuba,Nationality_Uruguay,Nationality_China,Nationality_Pakistan,Nationality_Philippines,Nationality_India,Nationality_Bangladesh,Nationality_Georgia,Nationality_Armenia,Nationality_Japan,Nationality_Nepal,Nationality_Oceania,Rent_Number_Flats,Rent_Price_Meter_Flats,Rent_Price_Total_Flats,Rent_Area_Flats
03_043,03,14,043,2.9129335382643564,3,1,0,0,1,0,0,0,0,5,1,0,0,4,0,0,1,18,59.333333333333336,32.15277777777778,9.461538461538462,0.5380467345715998,0.09646494907130018,0.07968843618933494,0.33073696824445775,0.33073696824445775,0.2606351108448173,2.57,0.038050734312416554,0.19893190921228304,0.232977303070761,0.2363150867823765,0.27837116154873165,0.7968843618933493,0.029358897543439184,0.008388256440982624,0.004793289394847214,0.0035949670461354103,0.0017974835230677051,0.0017974835230677051,0.0029958058717795086,0.004793289394847214,0.0029958058717795086,0.0035949670461354103,0.0,0.0017974835230677051,0.0011983223487118035,0.002396644697423607,0.0,0.004793289394847214,0.0035949670461354103,0.0,0.019772318753744758,0.004793289394847214,0.008388256440982624,0.004793289394847214,0.0029958058717795086,0.01078490113840623,0.0029958058717795086,0.006590772917914919,0.0005991611743559018,0.002396644697423607,0.004194128220491312,0.002396644697423607,0.0035949670461354103,0.0005991611743559018,0.012582384661473937,0.005991611743559017,0.0,0.0005991611743559018,0.0,0.01018573996405033,0.0011983223487118035,0.0005991611743559018,0.0,0.0,101.0,11.521466880341917,800.0,70.0
03_044,03,14,044,2.6809233782931363,6,4,3,0,1,0,0,3,1,9,0,2,0,2,0,1,0,21,41.095238095238095,18.214285714285715,9.38888888888889,0.5186528497409326,0.11191709844559586,0.09585492227979274,0.3528497409326425,0.3528497409326425,0.1849740932642487,2.51,0.024749558043606363,0.17619328226281675,0.23865645256334708,0.2522097819681791,0.2958161461402475,0.7440414507772021,0.023316062176165803,0.006735751295336788,0.005699481865284974,0.0062176165803108805,0.004145077720207254,0.006735751295336788,0.002072538860103627,0.00466321243523316,0.0,0.002072538860103627,0.0,0.0,0.0005181347150259067,0.0005181347150259067,0.0010362694300518134,0.0062176165803108805,0.0,0.0005181347150259067,0.00932642487046632,0.0015544041450777201,0.011398963730569948,0.0062176165803108805,0.006735751295336788,0.002072538860103627,0.008290155440414507,0.0031088082901554403,0.00466321243523316,0.003626943005181347,0.0051813471502590676,0.003626943005181347,0.0010362694300518134,0.0025906735751295338,0.03730569948186528,0.026424870466321245,0.004145077720207254,0.015025906735751295,0.0,0.002072538860103627,0.005699481865284974,0.0,0.0051813471502590676,0.0,179.0,11.193083333333334,800.0,70.0
03_045,03,14,045,2.469116957377661,1,1,0,0,0,0,0,1,0,5,0,0,0,2,0,0,0,17,66.3529411764706,23.24019607843137,9.785714285714286,0.5092764378478665,0.12987012987012986,0.06679035250463822,0.3395176252319109,0.3395176252319109,0.2012987012987013,2.21,0.024731182795698924,0.17096774193548386,0.2053763440860215,0.23870967741935484,0.35161290322580646,0.7931354359925789,0.030612244897959183,0.013914656771799629,0.0009276437847866419,0.008348794063079777,0.0018552875695732839,0.01855287569573284,0.008348794063079777,0.00463821892393321,0.0018552875695732839,0.0037105751391465678,0.0027829313543599257,0.0,0.0027829313543599257,0.0,0.0027829313543599257,0.011131725417439703,0.0,0.0037105751391465678,0.0037105751391465678,0.0009276437847866419,0.0055658627087198514,0.00463821892393321,0.0009276437847866419,0.0018552875695732839,0.0074211502782931356,0.00927643784786642,0.0027829313543599257,0.0009276437847866419,0.0,0.00463821892393321,0.0,0.0009276437847866419,0.008348794063079777,0.0,0.006493506493506494,0.0055658627087198514,0.0,0.0027829313543599257,0.0009276437847866419,0.0,0.0,0.0,62.0,12.686567164179083,800.0,62.0
03_046,03,14,046,2.4864749649500193,8,0,0,0,0,0,1,1,0,5,0,1,0,2,0,2,0,20,64.95,23.989583333333332,9.75,0.541907514450867,0.08526011560693642,0.08020231213872832,0.34898843930635837,0.34898843930635837,0.2543352601156069,2.4,0.02141157811260904,0.13402061855670103,0.20777160983346551,0.2648691514670896,0.36082474226804123,0.8677745664739884,0.025289017341040464,0.007947976878612716,0.002890173410404624,0.006502890173410405,0.0036127167630057803,0.0050578034682080926,0.0050578034682080926,0.004335260115606936,0.001445086705202312,0.0036127167630057803,0.000722543352601156,0.000722543352601156,0.000722543352601156,0.0,0.0,0.000722543352601156,0.0,0.000722543352601156,0.007947976878612716,0.0,0.000722543352601156,0.002890173410404624,0.0036127167630057803,0.002167630057803468,0.000722543352601156,0.0072254335260115606,0.000722543352601156,0.0036127167630057803,0.000722543352601156,0.0,0.0,0.001445086705202312,0.01083815028901734,0.006502890173410405,0.0,0.0,0.001445086705202312,0.0,0.0,0.0,0.0,0.0,85.0,10.911787974683584,862.0,82.0
03_047,03,15,047,2.3233766298297596,11,4,3,11,2,1,0,3,3,29,3,1,2,6,2,0,0,47,103.68085106382979,29.04407294832827,9.743589743589743,0.5215686274509804,0.10476190476190476,0.09243697478991597,0.3411764705882353,0.3411764705882353,0.17478991596638654,2.39,0.02391441157960982,0.19320327249842667,0.21522970421648835,0.2517306482064191,0.2976714915040906,0.7932773109243697,0.025210084033613446,0.011764705882352941,0.00392156862745098,0.004481792717086834,0.0033613445378151263,0.010084033613445379,0.002240896358543417,0.0056022408963585435,0.0011204481792717086,0.0005602240896358543,0.0005602240896358543,0.0,0.0016806722689075631,0.0005602240896358543,0.0,0.0061624649859943975,0.0016806722689075631,0.0,0.0028011204481792717,0.0011204481792717086,0.01568627450980392,0.011204481792717087,0.0016806722689075631,0.012324929971988795,0.0016806722689075631,0.00784313725490196,0.008403361344537815,0.004481792717086834,0.002240896358543417,0.0028011204481792717,0.0016806722689075631,0.0011204481792717086,0.011764705882352941,0.0067226890756302525,0.002240896358543417,0.010084033613445379,0.0,0.0056022408963585435,0.0011204481792717086,0.0005602240896358543,0.0,0.0,136.0,12.104999999999999,750.0,64.0
03_048,03,15,048,2.3620791145742484,7,1,0,0,0,1,1,0,1,26,3,0,2,5,1,0,2,12,88.75,34.46527777777777,9.9,0.5278810408921933,0.09591078066914498,0.07137546468401487,0.3762081784386617,0.3762081784386617,0.22602230483271377,2.33,0.019851116625310174,0.17204301075268819,0.21257237386269645,0.25144747725392885,0.3416046319272126,0.8,0.011895910780669145,0.007434944237918215,0.002973977695167286,0.008921933085501859,0.0044609665427509295,0.010408921933085501,0.0022304832713754648,0.0,0.002973977695167286,0.001486988847583643,0.0044609665427509295,0.0,0.0,0.0007434944237918215,0.0,0.007434944237918215,0.001486988847583643,0.0007434944237918215,0.011152416356877323,0.0,0.005947955390334572,0.0007434944237918215,0.001486988847583643,0.002973977695167286,0.008178438661710037,0.0022304832713754648,0.0052044609665427505,0.002973977695167286,0.002973977695167286,0.0,0.0007434944237918215,0.0,0.011895910780669145,0.011895910780669145,0.008921933085501859,0.017100371747211896,0.0,0.0022304832713754648,0.0,0.001486988847583643,0.0022304832713754648,0.0007434944237918215,90.0,12.15853286384975,870.0,73.0
03_049,03,15,049,2.466921970151863,4,1,3,0,2,0,0,4,3,10,5,1,0,6,0,2,0,22,110.22727272727273,25.54722222222222,9.352941176470589,0.5258673158855751,0.13085818624467438,0.07547169811320754,0.3061472915398661,0.3061472915398661,0.22763237979306147,2.38,0.035211267605633804,0.2035211267605634,0.1964788732394366,0.24295774647887325,0.3084507042253521,0.7681071211199026,0.024954351795496044,0.012172854534388313,0.006086427267194157,0.009129640900791236,0.0036518563603164943,0.0018259281801582471,0.00426049908703591,0.005477784540474742,0.0012172854534388314,0.0018259281801582471,0.0006086427267194157,0.0006086427267194157,0.0,0.0,0.0006086427267194157,0.010955569080949483,0.0,0.0018259281801582471,0.005477784540474742,0.0018259281801582471,0.005477784540474742,0.015216068167985392,0.0018259281801582471,0.002434570906877663,0.0036518563603164943,0.0030432136335970784,0.002434570906877663,0.002434570906877663,0.009129640900791236,0.002434570906877663,0.0,0.0,0.01278149726110773,0.029214850882531954,0.009129640900791236,0.010955569080949483,0.0,0.0036518563603164943,0.0,0.0,0.00426049908703591,0.0006086427267194157,142.0,12.834821428571416,771.0,68.0
03_050,03,15,050,2.62480031995682,9,4,5,10,3,0,2,1,0,13,3,0,0,5,0,1,1,21,120.52380952380952,26.83730158730159,9.176470588235293,0.5170940170940171,0.0927960927960928,0.07997557997557997,0.34676434676434675,0.34676434676434675,0.18376068376068377,2.28,0.022988505747126436,0.16091954022988506,0.20486815415821502,0.23867478025693037,0.3630831643002028,0.7533577533577533,0.03296703296703297,0.009768009768009768,0.009768009768009768,0.003663003663003663,0.006715506715506716,0.002442002442002442,0.002442002442002442,0.003663003663003663,0.004273504273504274,0.003663003663003663,0.003663003663003663,0.0006105006105006105,0.002442002442002442,0.001221001221001221,0.0,0.015873015873015872,0.0,0.0018315018315018315,0.004884004884004884,0.0018315018315018315,0.01221001221001221,0.014041514041514042,0.007936507936507936,0.005494505494505495,0.004273504273504274,0.010378510378510378,0.004273504273504274,0.002442002442002442,0.002442002442002442,0.006715506715506716,0.001221001221001221,0.0018315018315018315,0.020757020757020756,0.009768009768009768,0.004884004884004884,0.0,0.0,0.003663003663003663,0.001221001221001221,0.0018315018315018315,0.006105006105006105,0.0,138.0,11.842105263157917,757.0,66.0
03_051,03,15,051,2.7574433151741724,5,5,3,8,1,0,2,2,1,16,3,0,0,5,1,1,0,22,66.68181818181819,21.013257575757578,9.4,0.5105576610720086,0.13752030319436925,0.09041689225771521,0.34759068760151596,0.34759068760151596,0.136978884677856,2.49,0.012078830260648443,0.22186904005085822,0.21869040050858232,0.21233312142403052,0.32167832167832167,0.7125067677314564,0.033567948023822416,0.01245262587980509,0.0027070925825663237,0.01136978884677856,0.003789929615592853,0.002165674066053059,0.002165674066053059,0.004872766648619383,0.0005414185165132648,0.002165674066053059,0.008662696264212236,0.0016242555495397943,0.0016242555495397943,0.0,0.0005414185165132648,0.027612344342176503,0.002165674066053059,0.0,0.014618299945858148,0.0032485110990795887,0.010828370330265295,0.004331348132106118,0.008121277747698972,0.012994044396318355,0.004331348132106118,0.006497022198159177,0.007038440714672442,0.003789929615592853,0.002165674066053059,0.0010828370330265296,0.0027070925825663237,0.0016242555495397943,0.005955603681645912,0.02273957769355712,0.008662696264212236,0.010828370330265295,0.004872766648619383,0.0,0.0,0.0,0.0005414185165132648,0.0005414185165132648,107.0,13.1951530612245,795.0,65.0
03_052,03,15,052,2.6512441090851,71,5,8,29,3,1,1,6,2,16,2,0,1,6,0,0,0,36,62.69444444444444,19.682870370370367,9.5,0.5196232339089482,0.12480376766091052,0.08006279434850863,0.3516483516483517,0.3516483516483517,0.16718995290423863,2.37,0.026149684400360685,0.2344454463480613,0.22633002705139765,0.22813345356176737,0.27592425608656446,0.7598116169544741,0.022762951334379906,0.015698587127158554,0.007849293563579277,0.002354788069073783,0.008634222919937205,0.003924646781789639,0.003924646781789639,0.0007849293563579278,0.0015698587127158557,0.004709576138147566,0.0,0.0031397174254317113,0.0007849293563579278,0.0,0.0,0.01805337519623234,0.003924646781789639,0.0,0.006279434850863423,0.01098901098901099,0.0031397174254317113,0.00706436420722135,0.0,0.005494505494505495,0.003924646781789639,0.0007849293563579278,0.0007849293563579278,0.005494505494505495,0.0031397174254317113,0.0,0.0,0.0015698587127158557,0.01805337519623234,0.030612244897959183,0.004709576138147566,0.008634222919937205,0.0015698587127158557,0.0015698587127158557,0.0031397174254317113,0.0007849293563579278,0.01098901098901099,0.0007849293563579278,90.0,12.847999999999999,737.0,67.0
03_053,03,15,053,2.442314003524839,11,5,4,6,5,0,4,2,2,28,0,5,0,11,0,1,1,53,99.41509433962264,28.995552560646907,9.642857142857142,0.5217194570135747,0.12941176470588237,0.09321266968325792,0.3226244343891403,0.3226244343891403,0.16470588235294117,2.44,0.028795811518324606,0.21151832460732983,0.2157068062827225,0.2256544502617801,0.3078534031413613,0.7009049773755656,0.03257918552036199,0.016289592760180997,0.003167420814479638,0.004977375565610859,0.007239819004524887,0.0058823529411764705,0.004072398190045249,0.00045248868778280545,0.0036199095022624436,0.0022624434389140274,0.00045248868778280545,0.0027149321266968325,0.0009049773755656109,0.00045248868778280545,0.0009049773755656109,0.0167420814479638,0.0009049773755656109,0.0,0.013574660633484163,0.00904977375565611,0.00904977375565611,0.015384615384615385,0.005429864253393665,0.012669683257918552,0.004072398190045249,0.006334841628959276,0.004072398190045249,0.004072398190045249,0.003167420814479638,0.0036199095022624436,0.0009049773755656109,0.003167420814479638,0.020361990950226245,0.03167420814479638,0.0027149321266968325,0.01493212669683258,0.0018099547511312218,0.004977375565610859,0.0027149321266968325,0.0,0.0013574660633484162,0.0009049773755656109,144.0,13.235294117647085,710.0,56.0
