Tag,N_district,N_neighbourhood,N_section,Distance_Center,POI_Daily_Food,POI_Daily_Others,POI_House_Equipment,POI_Clothing,POI_Culture,POI_Vehicles,POI_State_Agents,POI_Education,POI_Finances,POI_Restaurants_Hotels,POI_Health,POI_Souvenirs_Thrift_Store,POI_Car_Parks,POI_Esthetics,POI_Sports,POI_Religion,POI_Administration,Airbnb_Number,Airbnb_Price,Airbnb_Price_Person,Airbnb_Location_Score,Percentage_Gender_Female,Percentage_Age_0_14,Percentage_Age_15_24,Percentage_Age_25_39,Percentage_Age_40_64,Percentage_Age_65_Plus,Household,Education_Primary_School,Education_Middle_School,Education_High_School,Education_University,Nationality_Spain,Nationality_Italy,Nationality_France,Nationality_UK,Nationality_Russia,Nationality_Germany,Nationality_Romania,Nationality_Portugal,Nationality_Ucrany,Nationality_Poland,Nationality_Netherlands,Nationality_Bulgaria,Nationality_Sweden,Nationality_Belgium,Nationality_Ireland,Nationality_Greece,Nationality_Morocco,Nationality_Argelia,Nationality_Senegal,Nationality_Colombia,Nationality_Honduras,Nationality_Venezuela,Nationality_Peru,Nationality_Argentina,Nationality_Bolivia,Nationality_Brazil,Nationality_Ecuador,Nationality_Dominican_Republic,Nationality_Mexico,Nationality_Chile,Nationality_Paraguay,Nationality_Cuba,Nationality_Uruguay,Nationality_Pakistan,Nationality_China,Nationality_Philippines,Nationality_India,Nationality_Bangladesh,Nationality_Georgia,Nationality_Armenia,Nationality_Japan,Nationality_Nepal,Nationality_Oceania
10_070,10,68,070,3.3320967433188255,9,1,2,5,3,2,1,2,0,12,1,0,0,3,1,0,0,21,65.52380952380952,28.077777777777776,9.615384615384615,0.5386940749697703,0.12031438935912939,0.08887545344619105,0.23941958887545345,0.37605804111245467,0.17533252720677148,2.37,0.14791666666666667,0.21458333333333332,0.2708333333333333,0.3284722222222222,0.7974607013301088,0.047762998790810154,0.010882708585247884,0.010882708585247884,0.006045949214026602,0.007859733978234583,0.0012091898428053204,0.0024183796856106408,0.0012091898428053204,0.0048367593712212815,0.0018137847642079807,0.0012091898428053204,0.0006045949214026602,0.0048367593712212815,0.0,0.0012091898428053204,0.0036275695284159614,0.0,0.0006045949214026602,0.0024183796856106408,0.0006045949214026602,0.009068923821039904,0.0024183796856106408,0.009068923821039904,0.0006045949214026602,0.010882708585247884,0.0006045949214026602,0.0024183796856106408,0.0012091898428053204,0.0012091898428053204,0.0048367593712212815,0.0006045949214026602,0.0006045949214026602,0.017533252720677146,0.008464328899637243,0.0036275695284159614,0.0012091898428053204,0.0,0.0,0.004232164449818622,0.0,0.0006045949214026602,0.0
10_071,10,68,071,3.410755302874765,5,3,0,3,1,0,1,3,0,12,3,0,0,4,1,0,0,21,80.14285714285714,23.390476190476193,9.75,0.5110132158590308,0.1316079295154185,0.11123348017621146,0.17015418502202642,0.40859030837004406,0.17841409691629956,2.58,0.13046272493573266,0.2236503856041131,0.2859897172236504,0.32069408740359895,0.8948237885462555,0.0236784140969163,0.009911894273127754,0.006057268722466961,0.006057268722466961,0.005506607929515419,0.0005506607929515419,0.0016519823788546256,0.007709251101321586,0.0011013215859030838,0.0022026431718061676,0.0,0.0,0.0,0.0005506607929515419,0.0,0.0,0.0,0.0005506607929515419,0.0022026431718061676,0.0011013215859030838,0.0005506607929515419,0.0022026431718061676,0.0,0.0005506607929515419,0.0011013215859030838,0.0011013215859030838,0.0,0.0005506607929515419,0.0005506607929515419,0.004405286343612335,0.0011013215859030838,0.0,0.0,0.004955947136563877,0.0,0.003854625550660793,0.0,0.0,0.0,0.0,0.0,0.0005506607929515419
10_072,10,68,072,3.624147103785265,4,0,0,0,0,0,0,3,0,5,2,0,0,1,0,0,0,19,79.6842105263158,25.239035087719298,9.461538461538462,0.5035105315947843,0.16649949849548645,0.08876629889669008,0.1990972918756269,0.39317953861584753,0.15245737211634905,2.56,0.15577275503970678,0.21319486866218693,0.23946243127672573,0.3451435552840562,0.7818455366098295,0.03761283851554664,0.015045135406218655,0.01053159478435306,0.0020060180541624875,0.007021063189568706,0.005516549648946841,0.0050150451354062184,0.005516549648946841,0.0020060180541624875,0.0025075225677031092,0.0,0.0020060180541624875,0.0,0.0015045135406218655,0.0010030090270812437,0.012537612838515547,0.0,0.0,0.015045135406218655,0.0005015045135406219,0.012036108324974924,0.003009027081243731,0.007522567703109328,0.005516549648946841,0.004513540621865597,0.0005015045135406219,0.0010030090270812437,0.0025075225677031092,0.004012036108324975,0.0,0.0015045135406218655,0.0005015045135406219,0.020561685055165497,0.0,0.0010030090270812437,0.0020060180541624875,0.0,0.0015045135406218655,0.0,0.0,0.0,0.0005015045135406219
10_073,10,68,073,3.5841145415157403,1,1,3,0,1,1,1,0,1,3,0,0,0,6,1,0,0,12,62.083333333333336,24.875,10.0,0.5180149558123726,0.11964649898028552,0.08225696804894629,0.18422841604350781,0.34738273283480625,0.2664853840924541,2.44,0.21728971962616822,0.2546728971962617,0.25,0.23286604361370716,0.8504418762746431,0.021753908905506457,0.008837525492861998,0.009517335146159076,0.007477906186267845,0.003399048266485384,0.0,0.003399048266485384,0.0006798096532970768,0.002719238613188307,0.0,0.0,0.0006798096532970768,0.0013596193065941536,0.0,0.003399048266485384,0.0,0.0,0.0,0.004078857919782461,0.006798096532970768,0.0013596193065941536,0.002719238613188307,0.008157715839564922,0.004758667573079538,0.002719238613188307,0.004078857919782461,0.0013596193065941536,0.0006798096532970768,0.0,0.0006798096532970768,0.0013596193065941536,0.004078857919782461,0.005438477226376614,0.013596193065941536,0.0,0.002719238613188307,0.0006798096532970768,0.0,0.0013596193065941536,0.0006798096532970768,0.0,0.0013596193065941536
10_074,10,68,074,3.509842808542047,7,2,2,1,2,0,2,3,0,7,1,0,0,6,0,0,0,20,56.65,20.041666666666664,9.5,0.5183649289099526,0.12914691943127962,0.08530805687203792,0.23696682464454977,0.3726303317535545,0.1759478672985782,2.38,0.15945017182130583,0.23780068728522336,0.23986254295532647,0.325085910652921,0.7677725118483413,0.039691943127962086,0.011848341232227487,0.01481042654028436,0.005924170616113744,0.008886255924170616,0.002369668246445498,0.004146919431279621,0.0,0.0005924170616113745,0.002962085308056872,0.0035545023696682463,0.0005924170616113745,0.002369668246445498,0.0,0.001184834123222749,0.010071090047393365,0.0,0.005924170616113744,0.0071090047393364926,0.004146919431279621,0.005924170616113744,0.004739336492890996,0.008293838862559242,0.008293838862559242,0.01066350710900474,0.0017772511848341231,0.0017772511848341231,0.0017772511848341231,0.002369668246445498,0.0017772511848341231,0.0,0.0,0.018957345971563982,0.015995260663507108,0.0,0.002369668246445498,0.0,0.0017772511848341231,0.002369668246445498,0.0005924170616113745,0.0,0.0
10_075,10,68,075,3.6004393584124665,4,0,0,1,1,2,0,0,0,7,3,0,0,2,0,0,0,5,67.8,24.433333333333334,9.0,0.5105837075048107,0.13277742142398974,0.0949326491340603,0.22642719692110327,0.35728030788967285,0.18858242463117383,2.59,0.20774385703648549,0.23603871928518244,0.24422933730454208,0.26582278481012656,0.7902501603592046,0.03463758819756254,0.01796023091725465,0.003848620910840282,0.007697241821680564,0.006414368184733804,0.006414368184733804,0.0025657472738935213,0.003848620910840282,0.0012828736369467607,0.0025657472738935213,0.003207184092366902,0.0012828736369467607,0.0006414368184733803,0.0,0.0,0.0012828736369467607,0.0,0.0006414368184733803,0.010262989095574085,0.003848620910840282,0.005772931366260423,0.007055805003207184,0.012187299550994226,0.0,0.005772931366260423,0.006414368184733804,0.0,0.001924310455420141,0.0,0.0025657472738935213,0.0025657472738935213,0.001924310455420141,0.013470173187940988,0.014111610006414367,0.003207184092366902,0.001924310455420141,0.0,0.004490057729313663,0.0,0.001924310455420141,0.0025657472738935213,0.0
10_076,10,69,076,3.845823471456622,3,2,0,0,0,0,1,3,2,13,0,0,0,0,1,0,1,19,57.73684210526316,30.38157894736842,9.5,0.5157657657657657,0.21711711711711712,0.038288288288288286,0.3238738738738739,0.36666666666666664,0.05405405405405406,2.15,0.05449275362318841,0.1698550724637681,0.24811594202898551,0.5165217391304348,0.863063063063063,0.01936936936936937,0.010810810810810811,0.0018018018018018018,0.01756756756756757,0.003153153153153153,0.0013513513513513514,0.0076576576576576575,0.0022522522522522522,0.0018018018018018018,0.0009009009009009009,0.00045045045045045046,0.00045045045045045046,0.00045045045045045046,0.0009009009009009009,0.0009009009009009009,0.005405405405405406,0.002702702702702703,0.00045045045045045046,0.008108108108108109,0.00045045045045045046,0.004054054054054054,0.0009009009009009009,0.003153153153153153,0.0009009009009009009,0.0009009009009009009,0.0018018018018018018,0.0,0.0013513513513513514,0.0,0.0013513513513513514,0.0018018018018018018,0.00045045045045045046,0.0,0.010810810810810811,0.0,0.0022522522522522522,0.0,0.0,0.0,0.002702702702702703,0.0,0.0
10_077,10,69,077,3.8623762882241985,3,2,1,0,0,0,0,7,0,21,3,0,0,2,3,1,0,24,305.4166666666667,60.319444444444436,9.588235294117647,0.5,0.197136563876652,0.10958149779735683,0.15473568281938327,0.43392070484581496,0.10462555066079295,2.74,0.07708479327259986,0.1695865451997197,0.24176594253679046,0.4744218640504555,0.835352422907489,0.03138766519823789,0.019273127753303965,0.005506607929515419,0.004405286343612335,0.007709251101321586,0.0011013215859030838,0.009361233480176211,0.0016519823788546256,0.0027533039647577094,0.0027533039647577094,0.0,0.003854625550660793,0.0022026431718061676,0.0022026431718061676,0.0,0.0011013215859030838,0.0,0.0005506607929515419,0.0016519823788546256,0.0,0.004405286343612335,0.0022026431718061676,0.003854625550660793,0.0016519823788546256,0.009361233480176211,0.003303964757709251,0.0027533039647577094,0.0022026431718061676,0.0005506607929515419,0.0,0.0011013215859030838,0.0011013215859030838,0.004955947136563877,0.006607929515418502,0.0005506607929515419,0.0027533039647577094,0.0,0.0,0.0,0.0005506607929515419,0.0,0.0005506607929515419
10_078,10,69,078,3.8265971416764075,0,2,0,0,1,0,0,2,0,17,4,0,0,2,2,0,0,35,187.0857142857143,30.326530612244895,9.571428571428571,0.5067374438546346,0.2245814618211515,0.08983258472846059,0.1494487545937117,0.43732135565536956,0.09881584320130665,2.7,0.05508021390374331,0.14278074866310161,0.2540106951871658,0.5192513368983958,0.7844017966516945,0.038383013474887706,0.011841567986933442,0.011024908125765618,0.023683135973866884,0.010616578195181707,0.008166598611678236,0.0036749693752552064,0.00898325847284606,0.00449162923642303,0.004083299305839118,0.0016333197223356473,0.0008166598611678236,0.0028583095140873828,0.0028583095140873828,0.0004083299305839118,0.0008166598611678236,0.0,0.0004083299305839118,0.0036749693752552064,0.0004083299305839118,0.0057166190281747655,0.0012249897917517355,0.008574928542262147,0.0004083299305839118,0.008574928542262147,0.0008166598611678236,0.0004083299305839118,0.0016333197223356473,0.0004083299305839118,0.0012249897917517355,0.0004083299305839118,0.0004083299305839118,0.002449979583503471,0.00449162923642303,0.0,0.002449979583503471,0.0,0.0004083299305839118,0.0,0.0008166598611678236,0.0,0.0004083299305839118
10_079,10,69,079,4.057629387653697,7,1,1,1,0,0,0,1,3,14,2,1,0,4,0,0,0,23,184.2608695652174,31.334782608695654,9.631578947368421,0.5216170690623245,0.14261650758001124,0.11061201572150477,0.14486243683323977,0.41549691184727683,0.18641212801796744,2.69,0.14049039098740887,0.20278330019880716,0.2644135188866799,0.341948310139165,0.858506457046603,0.023020774845592364,0.011791128579449747,0.008983717012914094,0.014598540145985401,0.002807411566535654,0.003368893879842785,0.0016844469399213925,0.003368893879842785,0.0011229646266142617,0.002807411566535654,0.002807411566535654,0.0,0.0016844469399213925,0.0,0.002807411566535654,0.005614823133071308,0.0,0.0005614823133071309,0.003368893879842785,0.0,0.003368893879842785,0.0005614823133071309,0.0039303761931499155,0.0,0.0016844469399213925,0.0011229646266142617,0.0,0.0005614823133071309,0.0016844469399213925,0.0005614823133071309,0.0016844469399213925,0.0011229646266142617,0.002807411566535654,0.008983717012914094,0.0,0.002807411566535654,0.0,0.0,0.0022459292532285235,0.0,0.0,0.0005614823133071309
10_080,10,69,080,4.489674861164031,13,11,4,70,10,0,4,1,4,47,2,1,0,11,0,0,1,52,243.82692307692307,46.429555860805856,9.675675675675675,0.501088376142795,0.23813670004353504,0.09969525468001741,0.16412712233347845,0.40226382237701347,0.09577710056595559,2.8,0.059371362048894066,0.11757857974388825,0.23224679860302677,0.5616996507566938,0.6112320417936439,0.034392686112320416,0.023073574227252938,0.0174140182847192,0.08315193730953417,0.01784936874183718,0.006530256856769699,0.0030474531998258597,0.014366565084893338,0.0030474531998258597,0.013495864170657379,0.0034828036569438396,0.014801915542011318,0.00478885502829778,0.00130605137135394,0.0008707009142359599,0.0030474531998258597,0.0043535045711798,0.00043535045711797995,0.006965607313887679,0.00043535045711797995,0.0056595559425337396,0.00261210274270788,0.0060949063996517195,0.0,0.013931214627775359,0.00043535045711797995,0.00130605137135394,0.0056595559425337396,0.00130605137135394,0.0017414018284719198,0.00043535045711797995,0.0008707009142359599,0.0,0.014801915542011318,0.0017414018284719198,0.0021767522855899,0.0,0.00043535045711797995,0.0008707009142359599,0.0021767522855899,0.0,0.00130605137135394
10_081,10,70,081,5.0224394022052445,6,2,0,2,1,0,0,1,0,13,1,2,0,5,0,0,1,48,76.1875,22.44866071428571,9.17142857142857,0.500240038406145,0.14786365818530964,0.09553528564570331,0.2270763322131541,0.3614978396543447,0.16802688430148824,2.62,0.2133938706015891,0.30590238365493755,0.20034052213393871,0.2054483541430193,0.686029764762362,0.01632261161785886,0.003840614498319731,0.009121459433509362,0.028324531925108018,0.00048007681228996637,0.003840614498319731,0.0028804608737397984,0.023523763802208355,0.007201152184349496,0.00048007681228996637,0.0028804608737397984,0.00048007681228996637,0.0,0.0,0.0,0.018242918867018725,0.0028804608737397984,0.007201152184349496,0.00816130580892943,0.007201152184349496,0.003360537686029765,0.010081613058089293,0.0043206913106096975,0.007201152184349496,0.00528084493518963,0.00672107537205953,0.00528084493518963,0.0009601536245799327,0.003360537686029765,0.0009601536245799327,0.0,0.00048007681228996637,0.06192990878540566,0.019203072491598656,0.0014402304368698992,0.0019203072491598655,0.0,0.010081613058089293,0.0014402304368698992,0.00048007681228996637,0.007681228996639462,0.0
