Tag,N_district,N_neighbourhood,N_section,Distance_Center,POI_Daily_Food,POI_Daily_Others,POI_House_Equipment,POI_Clothing,POI_Culture,POI_Vehicles,POI_State_Agents,POI_Education,POI_Finances,POI_Restaurants_Hotels,POI_Health,POI_Souvenirs_Thrift_Store,POI_Car_Parks,POI_Esthetics,POI_Sports,POI_Religion,POI_Administration,Airbnb_Number,Airbnb_Price,Airbnb_Price_Person,Airbnb_Location_Score,Percentage_Gender_Female,Percentage_Age_0_14,Percentage_Age_15_24,Percentage_Age_25_39,Percentage_Age_40_64,Percentage_Age_65_Plus,Household,Education_None,Education_Primary_School,Education_Middle_School,Education_High_School,Education_University,Nationality_Spain,Nationality_Italy,Nationality_France,Nationality_UK,Nationality_Germany,Nationality_Romania,Nationality_Russia,Nationality_Portugal,Nationality_Ucrany,Nationality_Netherlands,Nationality_Poland,Nationality_Bulgaria,Nationality_Sweden,Nationality_Belgium,Nationality_Greece,Nationality_Ireland,Nationality_Morocco,Nationality_Argelia,Nationality_Senegal,Nationality_Colombia,Nationality_Honduras,Nationality_Peru,Nationality_Venezuela,Nationality_Bolivia,Nationality_Ecuador,Nationality_Argentina,Nationality_Brazil,Nationality_Dominican_Republic,Nationality_Mexico,Nationality_Chile,Nationality_Paraguay,Nationality_Cuba,Nationality_Uruguay,Nationality_China,Nationality_Pakistan,Nationality_Philippines,Nationality_India,Nationality_Bangladesh,Nationality_Georgia,Nationality_Armenia,Nationality_Japan,Nationality_Nepal,Nationality_Oceania
03_015,03,11,015,1.4737051713051548,20,5,6,4,2,0,1,0,6,30,2,1,1,10,0,0,0,86,98.94186046511628,27.591052971576225,9.529411764705882,0.5087837837837837,0.10641891891891891,0.0956081081081081,0.35405405405405405,0.35405405405405405,0.14932432432432433,2.51,0.01834862385321101,0.20030581039755352,0.22362385321100917,0.22591743119266056,0.31345565749235477,0.620945945945946,0.047635135135135134,0.021283783783783785,0.01756756756756757,0.00945945945945946,0.0016891891891891893,0.002702702702702703,0.0030405405405405407,0.002702702702702703,0.0013513513513513514,0.0016891891891891893,0.002027027027027027,0.0037162162162162164,0.0013513513513513514,0.004391891891891892,0.0006756756756756757,0.006418918918918919,0.0016891891891891893,0.002027027027027027,0.01114864864864865,0.002027027027027027,0.01114864864864865,0.005405405405405406,0.006418918918918919,0.006081081081081081,0.008445945945945946,0.007432432432432433,0.01891891891891892,0.00472972972972973,0.002364864864864865,0.0013513513513513514,0.0030405405405405407,0.0010135135135135136,0.030405405405405407,0.05574324324324324,0.02364864864864865,0.012162162162162163,0.007770270270270271,0.0006756756756756757,0.0013513513513513514,0.0006756756756756757,0.0,0.00033783783783783786
03_016,03,11,016,1.4164458303463459,9,1,0,1,2,0,0,1,2,24,0,2,0,5,0,0,0,51,143.92156862745097,30.920098039215677,9.634146341463415,0.5170124481327801,0.10954356846473029,0.11203319502074689,0.34273858921161826,0.34273858921161826,0.13443983402489626,2.61,0.020676691729323307,0.21710526315789475,0.2462406015037594,0.22650375939849623,0.26973684210526316,0.6132780082987552,0.030705394190871368,0.014937759336099586,0.006639004149377593,0.012448132780082987,0.004149377593360996,0.009128630705394191,0.009128630705394191,0.0033195020746887966,0.0016597510373443983,0.004149377593360996,0.0008298755186721991,0.0016597510373443983,0.0008298755186721991,0.0008298755186721991,0.0,0.018257261410788383,0.0,0.0,0.015767634854771784,0.0008298755186721991,0.0033195020746887966,0.0024896265560165973,0.004979253112033195,0.0016597510373443983,0.004979253112033195,0.005809128630705394,0.016597510373443983,0.009128630705394191,0.004979253112033195,0.0016597510373443983,0.0,0.0,0.02987551867219917,0.05228215767634855,0.04066390041493776,0.038174273858921165,0.007468879668049793,0.0,0.0,0.0,0.0024896265560165973,0.0
03_017,03,11,017,1.622296301235155,3,5,0,1,1,0,3,1,0,16,1,1,0,5,1,0,0,70,78.24285714285715,23.134965986394562,9.482142857142858,0.488,0.1286153846153846,0.09292307692307693,0.3556923076923077,0.3556923076923077,0.128,2.49,0.022792022792022793,0.2215099715099715,0.21225071225071226,0.23433048433048434,0.2955840455840456,0.584,0.055384615384615386,0.016615384615384615,0.011076923076923076,0.011692307692307693,0.0024615384615384616,0.004923076923076923,0.005538461538461538,0.0012307692307692308,0.005538461538461538,0.003076923076923077,0.0,0.0006153846153846154,0.0,0.0018461538461538461,0.0012307692307692308,0.020923076923076923,0.006153846153846154,0.0,0.011076923076923076,0.008615384615384615,0.0036923076923076922,0.00676923076923077,0.0036923076923076922,0.003076923076923077,0.009230769230769232,0.0073846153846153844,0.009230769230769232,0.0024615384615384616,0.0036923076923076922,0.0018461538461538461,0.0018461538461538461,0.0006153846153846154,0.0073846153846153844,0.07753846153846154,0.04246153846153846,0.009230769230769232,0.009846153846153846,0.0036923076923076922,0.0,0.0006153846153846154,0.006153846153846154,0.0012307692307692308
03_018,03,11,018,1.5976768212195969,3,1,1,0,1,0,1,2,1,5,0,0,0,4,0,0,0,42,77.0952380952381,30.112301587301587,9.441176470588236,0.4922458357265939,0.12119471568064331,0.09534750143595634,0.3383113153360138,0.3383113153360138,0.1826536473291212,2.73,0.015862524785194978,0.24388631857237278,0.25710508922670194,0.23661599471249173,0.22405816259087905,0.694428489373923,0.028144744399770247,0.01665709362435382,0.00402067777139575,0.002871912693854107,0.0068925904652498565,0.0011487650775416428,0.002871912693854107,0.0005743825387708214,0.0011487650775416428,0.0005743825387708214,0.0005743825387708214,0.0017231476163124641,0.0005743825387708214,0.0011487650775416428,0.0,0.009190120620333142,0.005743825387708214,0.0017231476163124641,0.0068925904652498565,0.00402067777139575,0.002871912693854107,0.007466973004020678,0.005169442848937392,0.00402067777139575,0.00402067777139575,0.005743825387708214,0.00402067777139575,0.002871912693854107,0.0022975301550832855,0.0011487650775416428,0.0,0.0,0.006318207926479035,0.05858701895462378,0.0430786904078116,0.0430786904078116,0.0005743825387708214,0.0,0.0,0.0005743825387708214,0.002871912693854107,0.0
03_019,03,11,019,1.451550870173915,6,2,0,0,2,0,0,2,0,20,1,1,4,2,2,1,0,72,125.08333333333333,36.16110835537919,9.549019607843137,0.5359688917692806,0.12443292287751134,0.07777057679844458,0.34672715489306544,0.34672715489306544,0.15683732987686325,2.59,0.023880597014925373,0.22761194029850745,0.2417910447761194,0.19776119402985073,0.29776119402985074,0.6338302009073234,0.03305249513933895,0.01814646791963707,0.007777057679844459,0.005832793259883344,0.0038885288399222295,0.008425145819831496,0.005184705119896306,0.0032404406999351912,0.002592352559948153,0.002592352559948153,0.0,0.0012961762799740765,0.0006480881399870382,0.005184705119896306,0.0,0.02462734931950745,0.002592352559948153,0.0012961762799740765,0.010369410239792612,0.0019442644199611147,0.012313674659753726,0.010369410239792612,0.005832793259883344,0.007777057679844459,0.005184705119896306,0.010369410239792612,0.0038885288399222295,0.0006480881399870382,0.007777057679844459,0.0012961762799740765,0.0019442644199611147,0.0006480881399870382,0.005184705119896306,0.0064808813998703824,0.07453013609850939,0.029812054439403757,0.005832793259883344,0.0,0.0006480881399870382,0.0019442644199611147,0.0006480881399870382,0.0
03_020,03,11,020,1.6120129037423911,3,2,0,0,0,0,0,2,0,12,1,0,0,1,0,0,3,17,71.76470588235294,18.91862745098039,9.818181818181818,0.4853310980720872,0.09052808046940486,0.07711651299245599,0.34367141659681477,0.34367141659681477,0.2606873428331936,2.48,0.032527881040892194,0.26579925650557623,0.2128252788104089,0.22026022304832713,0.2527881040892193,0.8021793797150042,0.025984911986588432,0.006705783738474434,0.002514668901927913,0.002514668901927913,0.002514668901927913,0.002514668901927913,0.004191114836546521,0.0008382229673093043,0.0,0.0016764459346186086,0.0016764459346186086,0.002514668901927913,0.0016764459346186086,0.002514668901927913,0.0,0.004191114836546521,0.0008382229673093043,0.0,0.0075440067057837385,0.0008382229673093043,0.0,0.0016764459346186086,0.0,0.0016764459346186086,0.003352891869237217,0.0075440067057837385,0.0016764459346186086,0.002514668901927913,0.002514668901927913,0.0,0.002514668901927913,0.0016764459346186086,0.005029337803855826,0.04107292539815591,0.002514668901927913,0.025984911986588432,0.0008382229673093043,0.0,0.0,0.0008382229673093043,0.0,0.0
03_021,03,11,021,1.582298302947029,5,0,0,0,0,0,0,0,1,3,2,0,0,1,0,1,0,18,115.94444444444444,34.31111111111111,9.615384615384615,0.5300988319856245,0.09254267744833783,0.07547169811320754,0.3279424977538185,0.3279424977538185,0.29829290206648695,2.58,0.054835493519441676,0.23030907278165502,0.26021934197407776,0.22532402791625125,0.21834496510468593,0.8203054806828391,0.0215633423180593,0.004492362982929021,0.005390835579514825,0.0071877807726864335,0.0008984725965858042,0.0008984725965858042,0.0,0.0017969451931716084,0.0008984725965858042,0.0035938903863432167,0.0008984725965858042,0.0,0.0,0.0026954177897574125,0.0008984725965858042,0.0071877807726864335,0.0026954177897574125,0.0,0.006289308176100629,0.0,0.0,0.0017969451931716084,0.0017969451931716084,0.0,0.005390835579514825,0.004492362982929021,0.004492362982929021,0.0017969451931716084,0.0008984725965858042,0.004492362982929021,0.0026954177897574125,0.0017969451931716084,0.0017969451931716084,0.027852650494159928,0.008086253369272238,0.031446540880503145,0.0026954177897574125,0.0,0.0,0.0,0.0017969451931716084,0.0
03_022,03,11,022,1.7276057755495946,3,1,1,0,0,1,0,0,0,5,1,0,0,0,0,0,0,44,103.06818181818181,31.853923160173164,9.5,0.5060160427807486,0.12566844919786097,0.08823529411764706,0.3602941176470588,0.3602941176470588,0.18783422459893048,2.49,0.022376543209876542,0.22376543209876543,0.22762345679012347,0.22993827160493827,0.2800925925925926,0.7332887700534759,0.04144385026737968,0.009358288770053475,0.006016042780748663,0.004010695187165776,0.0066844919786096255,0.001336898395721925,0.00267379679144385,0.0006684491978609625,0.0006684491978609625,0.008021390374331552,0.0006684491978609625,0.001336898395721925,0.0006684491978609625,0.0,0.0,0.014037433155080214,0.0006684491978609625,0.0006684491978609625,0.001336898395721925,0.0006684491978609625,0.00267379679144385,0.008021390374331552,0.004010695187165776,0.002005347593582888,0.006016042780748663,0.0053475935828877,0.007352941176470588,0.00267379679144385,0.001336898395721925,0.0,0.0006684491978609625,0.0006684491978609625,0.002005347593582888,0.02874331550802139,0.0213903743315508,0.038101604278074866,0.001336898395721925,0.00267379679144385,0.0,0.0,0.0,0.00267379679144385
03_023,03,11,023,1.794657755735177,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,46,62.108695652173914,22.61713250517598,9.6,0.5162622612287042,0.11925658234383067,0.08931337119256583,0.3732576148683531,0.3732576148683531,0.1357769747031492,2.57,0.015402843601895734,0.2363744075829384,0.20616113744075829,0.2381516587677725,0.2849526066350711,0.6742385131646876,0.048012390294269486,0.020650490449148167,0.018069179143004648,0.004646360351058337,0.003097573567372225,0.003097573567372225,0.002065049044914817,0.004646360351058337,0.002065049044914817,0.002065049044914817,0.0,0.004130098089829634,0.005162622612287042,0.0005162622612287042,0.0005162622612287042,0.015487867836861126,0.006711409395973154,0.0005162622612287042,0.0036138358286009293,0.003097573567372225,0.002065049044914817,0.006711409395973154,0.002581311306143521,0.008260196179659268,0.011874032008260196,0.006711409395973154,0.008260196179659268,0.002581311306143521,0.0036138358286009293,0.004646360351058337,0.002065049044914817,0.0005162622612287042,0.005678884873515746,0.049044914816726896,0.02632937532266391,0.0123902942694889,0.0015487867836861124,0.0,0.0,0.0015487867836861124,0.0005162622612287042,0.0005162622612287042
03_024,03,11,024,2.8062122910748144,1,1,3,0,1,0,0,7,0,16,2,0,2,0,11,0,5,101,76.87128712871286,26.639438943894387,9.670886075949367,0.5038058991436727,0.13748810656517602,0.08610846812559467,0.37059942911512844,0.37059942911512844,0.12559467174119887,2.55,0.02056698165647582,0.20400222345747637,0.2340188993885492,0.2056698165647582,0.31739855475264034,0.6779257849666984,0.04471931493815414,0.026165556612749764,0.014272121788772598,0.013320647002854425,0.0019029495718363464,0.004757373929590866,0.002378686964795433,0.0019029495718363464,0.004281636536631779,0.0028544243577545195,0.002378686964795433,0.006184586108468126,0.0014272121788772598,0.002378686964795433,0.0014272121788772598,0.021408182683158895,0.003805899143672693,0.0,0.004281636536631779,0.004281636536631779,0.008563273073263558,0.007136060894386299,0.0028544243577545195,0.005233111322549952,0.003805899143672693,0.003330161750713606,0.006660323501427212,0.0019029495718363464,0.007611798287345386,0.0004757373929590866,0.0004757373929590866,0.0009514747859181732,0.009990485252140819,0.023786869647954328,0.008087535680304472,0.028544243577545196,0.006660323501427212,0.003805899143672693,0.0004757373929590866,0.0009514747859181732,0.0,0.0019029495718363464
03_025,03,12,025,5.826425050325786,3,3,2,0,2,12,0,2,1,12,0,1,0,0,2,1,5,10,102.3,18.18333333333333,8.166666666666666,0.48040033361134277,0.12760633861551293,0.09174311926605505,0.3561301084236864,0.3561301084236864,0.18265221017514596,2.6,0.04734299516908213,0.38454106280193234,0.3497584541062802,0.12367149758454106,0.06859903381642513,0.890742285237698,0.003336113427856547,0.0016680567139282735,0.0,0.0008340283569641367,0.0016680567139282735,0.004170141784820684,0.0,0.0008340283569641367,0.0,0.0008340283569641367,0.0,0.0,0.0008340283569641367,0.0,0.0,0.012510425354462052,0.0008340283569641367,0.0,0.0050041701417848205,0.0025020850708924102,0.012510425354462052,0.005838198498748957,0.0025020850708924102,0.0016680567139282735,0.0008340283569641367,0.003336113427856547,0.0016680567139282735,0.0008340283569641367,0.0008340283569641367,0.009174311926605505,0.0008340283569641367,0.0016680567139282735,0.020850708924103418,0.0,0.0,0.0,0.0,0.003336113427856547,0.0,0.0,0.0,0.0
03_026,03,13,026,4.569913964063059,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,57.5,48.75,,0.5202127659574468,0.10851063829787234,0.06595744680851064,0.30106382978723406,0.30106382978723406,0.39574468085106385,2.28,0.0718562874251497,0.3161676646706587,0.24790419161676647,0.21317365269461078,0.1341317365269461,0.8925531914893617,0.0,0.0031914893617021275,0.0,0.0,0.005319148936170213,0.0031914893617021275,0.0010638297872340426,0.0,0.0,0.0010638297872340426,0.0,0.0,0.0031914893617021275,0.0,0.0,0.00425531914893617,0.0010638297872340426,0.0,0.00425531914893617,0.007446808510638298,0.0010638297872340426,0.009574468085106383,0.0031914893617021275,0.009574468085106383,0.0031914893617021275,0.0,0.0031914893617021275,0.0,0.0,0.005319148936170213,0.005319148936170213,0.0,0.0031914893617021275,0.007446808510638298,0.0,0.007446808510638298,0.0,0.0,0.0,0.0,0.007446808510638298,0.0
