Tag,N_district,N_neighbourhood,N_section,Distance_Center,POI_Daily_Food,POI_Daily_Others,POI_House_Equipment,POI_Clothing,POI_Culture,POI_Vehicles,POI_State_Agents,POI_Education,POI_Finances,POI_Restaurants_Hotels,POI_Health,POI_Souvenirs_Thrift_Store,POI_Car_Parks,POI_Esthetics,POI_Sports,POI_Religion,POI_Administration,Airbnb_Number,Airbnb_Price,Airbnb_Price_Person,Airbnb_Location_Score,Percentage_Gender_Female,Percentage_Age_0_14,Percentage_Age_15_24,Percentage_Age_25_39,Percentage_Age_40_64,Percentage_Age_65_Plus,Household,Education_Primary_School,Education_Middle_School,Education_High_School,Education_University,Nationality_Spain,Nationality_Italy,Nationality_France,Nationality_UK,Nationality_Romania,Nationality_Germany,Nationality_Russia,Nationality_Ucrany,Nationality_Portugal,Nationality_Netherlands,Nationality_Poland,Nationality_Bulgaria,Nationality_Sweden,Nationality_Belgium,Nationality_Ireland,Nationality_Greece,Nationality_Morocco,Nationality_Argelia,Nationality_Senegal,Nationality_Bolivia,Nationality_Colombia,Nationality_Peru,Nationality_Ecuador,Nationality_Honduras,Nationality_Brazil,Nationality_Venezuela,Nationality_Argentina,Nationality_Dominican_Republic,Nationality_USA,Nationality_Mexico,Nationality_Paraguay,Nationality_Chile,Nationality_Cuba,Nationality_Uruguay,Nationality_Salvador,Nationality_China,Nationality_Pakistan,Nationality_Philippines,Nationality_India,Nationality_Bangladesh,Nationality_Georgia,Nationality_Armenia,Nationality_Japan,Nationality_Nepal,Nationality_Oceania,Rent_Number_Flats,Rent_Price_Meter_Flats,Rent_Price_Total_Flats,Rent_Area_Flats
01_011,01,01,011,0.9748939585834651,28,6,9,5,2,0,2,3,3,20,0,1,0,13,0,1,0,72,58.25,25.797453703703702,9.125,0.43498452012383904,0.14613003095975233,0.10371517027863777,0.3222910216718266,0.3222910216718266,0.08606811145510836,2.87,0.3417489937797292,0.260885473838273,0.16611781924624955,0.19173069886571534,0.4362229102167183,0.027244582043343655,0.013312693498452013,0.007739938080495356,0.006501547987616099,0.0046439628482972135,0.0021671826625387,0.0015479876160990713,0.002476780185758514,0.0009287925696594427,0.001238390092879257,0.0018575851393188853,0.0030959752321981426,0.0018575851393188853,0.0,0.0021671826625387,0.04613003095975232,0.0018575851393188853,0.0006191950464396285,0.005572755417956657,0.006811145510835914,0.0030959752321981426,0.007430340557275541,0.001238390092879257,0.002476780185758514,0.003405572755417957,0.0071207430340557275,0.006501547987616099,0.0030959752321981426,0.0037151702786377707,0.0058823529411764705,0.003405572755417957,0.0027863777089783283,0.00030959752321981426,0.003405572755417957,0.005263157894736842,0.15510835913312693,0.08854489164086687,0.019814241486068113,0.07461300309597524,0.00030959752321981426,0.0,0.0015479876160990713,0.005263157894736842,0.0009287925696594427,222.0,13.265306122449,600.0,45.0
01_012,01,01,012,0.9624787316955791,9,6,6,9,4,0,0,6,2,8,0,1,0,8,0,1,0,34,65.26470588235294,21.890091036414567,9.291666666666666,0.48480083857442346,0.13259958071278827,0.09329140461215933,0.31341719077568136,0.31341719077568136,0.12106918238993711,2.62,0.2760511882998172,0.25045703839122485,0.19378427787934185,0.24862888482632542,0.5529350104821803,0.04035639412997904,0.012054507337526206,0.005241090146750524,0.005765199161425576,0.006289308176100629,0.005765199161425576,0.0005241090146750524,0.0041928721174004195,0.002620545073375262,0.0041928721174004195,0.0,0.0005241090146750524,0.0020964360587002098,0.0010482180293501049,0.0005241090146750524,0.026729559748427674,0.0031446540880503146,0.0010482180293501049,0.006289308176100629,0.0047169811320754715,0.005241090146750524,0.005765199161425576,0.0015723270440251573,0.0041928721174004195,0.003668763102725367,0.0041928721174004195,0.0041928721174004195,0.003668763102725367,0.003668763102725367,0.0020964360587002098,0.0020964360587002098,0.0,0.0,0.0005241090146750524,0.0041928721174004195,0.050314465408805034,0.10953878406708595,0.019916142557651992,0.051362683438155136,0.0005241090146750524,0.0005241090146750524,0.0005241090146750524,0.0031446540880503146,0.0005241090146750524,134.0,12.5,655.0,53.0
01_013,01,01,013,0.8461602485990988,11,0,1,2,2,0,1,2,2,4,0,2,1,4,0,1,0,38,73.1842105263158,30.50986842105263,9.214285714285714,0.5202846975088968,0.1288256227758007,0.07330960854092526,0.33594306049822065,0.33594306049822065,0.1693950177935943,2.8,0.2471169686985173,0.23228995057660626,0.21663920922570015,0.257825370675453,0.6099644128113879,0.030604982206405694,0.006405693950177936,0.0035587188612099642,0.0007117437722419929,0.0056939501779359435,0.0,0.0,0.0056939501779359435,0.0014234875444839859,0.0056939501779359435,0.0014234875444839859,0.0,0.0007117437722419929,0.0007117437722419929,0.002135231316725979,0.014234875444839857,0.0,0.0,0.0099644128113879,0.0035587188612099642,0.002135231316725979,0.009252669039145907,0.0035587188612099642,0.0056939501779359435,0.0014234875444839859,0.0035587188612099642,0.0,0.002135231316725979,0.004270462633451958,0.0014234875444839859,0.00498220640569395,0.0014234875444839859,0.0,0.0,0.012811387900355872,0.042704626334519574,0.1409252669039146,0.0071174377224199285,0.03345195729537367,0.0,0.0,0.0007117437722419929,0.0,0.0007117437722419929,128.0,10.758706467661668,700.0,66.0
01_014,01,01,014,0.7400279361151284,6,3,6,4,7,1,1,1,3,11,0,3,0,3,1,0,0,38,66.3157894736842,32.61929824561404,9.45945945945946,0.4721393034825871,0.11243781094527364,0.09303482587064676,0.3940298507462687,0.3940298507462687,0.11243781094527364,3.34,0.3107344632768362,0.26610169491525426,0.16497175141242937,0.21694915254237288,0.5472636815920398,0.024875621890547265,0.012437810945273632,0.008955223880597015,0.004477611940298508,0.004975124378109453,0.001990049751243781,0.0014925373134328358,0.0009950248756218905,0.003980099502487562,0.0009950248756218905,0.003482587064676617,0.001990049751243781,0.0029850746268656717,0.0009950248756218905,0.001990049751243781,0.04129353233830846,0.004477611940298508,0.0,0.001990049751243781,0.005970149253731343,0.0009950248756218905,0.005970149253731343,0.0009950248756218905,0.004975124378109453,0.006467661691542288,0.003482587064676617,0.0029850746268656717,0.0029850746268656717,0.0024875621890547263,0.0009950248756218905,0.006965174129353234,0.0004975124378109452,0.0004975124378109452,0.0009950248756218905,0.0014925373134328358,0.0472636815920398,0.1582089552238806,0.004975124378109453,0.03283582089552239,0.003482587064676617,0.0,0.0009950248756218905,0.003980099502487562,0.0,104.0,11.101369863013666,600.0,59.0
01_015,01,01,015,0.8211870095349522,7,1,6,5,0,0,1,1,1,12,0,4,0,5,0,1,0,44,73.13636363636364,26.157954545454547,9.470588235294118,0.47877758913412566,0.12478777589134125,0.09804753820033955,0.3378607809847199,0.3378607809847199,0.11757215619694397,2.81,0.3054331864904552,0.24865394028389623,0.19334312285854136,0.21585903083700442,0.5012733446519525,0.03183361629881155,0.013582342954159592,0.006791171477079796,0.00466893039049236,0.0055178268251273345,0.0038200339558573855,0.00042444821731748726,0.0050933786078098476,0.0008488964346349745,0.0025466893039049238,0.00042444821731748726,0.001697792869269949,0.0029711375212224107,0.00042444821731748726,0.00042444821731748726,0.016553480475382003,0.0012733446519524619,0.00042444821731748726,0.008064516129032258,0.0038200339558573855,0.0038200339558573855,0.007640067911714771,0.0038200339558573855,0.00466893039049236,0.0055178268251273345,0.0029711375212224107,0.008488964346349746,0.0029711375212224107,0.001697792869269949,0.0012733446519524619,0.0008488964346349745,0.001697792869269949,0.0012733446519524619,0.0008488964346349745,0.00466893039049236,0.08616298811544991,0.16468590831918506,0.008913412563667233,0.04966044142614601,0.0,0.0008488964346349745,0.0,0.004244482173174873,0.0,188.0,11.870833333333332,666.0,57.0
01_016,01,01,016,0.6653319878001241,8,2,8,4,8,0,0,1,3,17,2,0,0,7,0,0,0,42,75.5,30.633928571428573,9.4,0.4846014492753623,0.12817028985507245,0.09918478260869565,0.34782608695652173,0.34782608695652173,0.10326086956521739,2.94,0.29485834207764955,0.23399790136411333,0.1862539349422875,0.24554039874081846,0.4841485507246377,0.022644927536231884,0.010869565217391304,0.009963768115942028,0.002717391304347826,0.006340579710144928,0.004528985507246377,0.0009057971014492754,0.003170289855072464,0.0018115942028985507,0.0018115942028985507,0.0004528985507246377,0.003170289855072464,0.0022644927536231885,0.0009057971014492754,0.0018115942028985507,0.014039855072463768,0.0004528985507246377,0.0,0.0018115942028985507,0.0036231884057971015,0.001358695652173913,0.0036231884057971015,0.0018115942028985507,0.004076086956521739,0.003170289855072464,0.006340579710144928,0.005434782608695652,0.004528985507246377,0.004076086956521739,0.0,0.004076086956521739,0.0009057971014492754,0.0009057971014492754,0.0,0.0036231884057971015,0.049365942028985504,0.2259963768115942,0.010416666666666666,0.06748188405797101,0.0022644927536231885,0.0,0.0022644927536231885,0.0018115942028985507,0.0009057971014492754,174.0,12.5,653.0,53.0
01_017,01,01,017,0.6884006155520389,7,3,1,6,6,0,1,1,1,8,0,1,0,15,0,1,0,46,67.82608695652173,23.096014492753625,9.439024390243903,0.49293623520427643,0.13860252004581902,0.10385643375334097,0.3424971363115693,0.3424971363115693,0.09621993127147767,2.98,0.3097582811101164,0.25604297224709044,0.18307967770814682,0.21575649059982094,0.4768995799923635,0.03245513554791905,0.013745704467353952,0.008781977854142803,0.0030546009927453228,0.004963726613211149,0.002672775868652157,0.002290950744558992,0.0057273768613974796,0.0030546009927453228,0.0015273004963726614,0.0030546009927453228,0.0030546009927453228,0.00038182512409316535,0.0007636502481863307,0.00038182512409316535,0.024818633066055747,0.0019091256204658267,0.0019091256204658267,0.009545628102329133,0.003436426116838488,0.002290950744558992,0.006872852233676976,0.0030546009927453228,0.0057273768613974796,0.005345551737304314,0.004200076365024819,0.007636502481863307,0.0030546009927453228,0.002672775868652157,0.002672775868652157,0.0015273004963726614,0.0,0.0007636502481863307,0.0,0.004200076365024819,0.06414662084765177,0.20962199312714777,0.011836578846888126,0.043528064146620846,0.0,0.00038182512409316535,0.00038182512409316535,0.004963726613211149,0.00038182512409316535,140.0,11.666666666666666,600.0,52.0
01_018,01,01,018,0.5557890684338852,14,2,2,6,4,0,0,7,3,23,0,2,0,4,0,3,2,79,74.88607594936708,24.452004219409286,9.538461538461538,0.4803862401931201,0.11888955944477972,0.1044055522027761,0.3283041641520821,0.3283041641520821,0.13820156910078454,2.92,0.29614325068870523,0.26239669421487605,0.18319559228650137,0.209366391184573,0.5371152685576343,0.024140012070006035,0.01388050694025347,0.009052504526252263,0.00724200362100181,0.00724200362100181,0.0030175015087507543,0.0030175015087507543,0.00724200362100181,0.0030175015087507543,0.0030175015087507543,0.0,0.0024140012070006035,0.0024140012070006035,0.0,0.0006035003017501509,0.01448400724200362,0.003621001810500905,0.0006035003017501509,0.004828002414001207,0.006638503319251659,0.0024140012070006035,0.007845503922751962,0.0012070006035003018,0.0024140012070006035,0.004224502112251056,0.004828002414001207,0.0024140012070006035,0.0030175015087507543,0.0024140012070006035,0.0024140012070006035,0.0012070006035003018,0.0024140012070006035,0.0012070006035003018,0.0006035003017501509,0.004224502112251056,0.07905853952926976,0.15691007845503924,0.009052504526252263,0.03922751961375981,0.0024140012070006035,0.0,0.0,0.0,0.0006035003017501509,105.0,10.945228494623668,670.0,61.0
01_019,01,01,019,0.6390292463043635,258,10,6,23,7,0,0,2,5,54,0,8,1,13,0,0,0,99,79.97979797979798,29.202244668911337,9.555555555555555,0.46306620209059235,0.11219512195121951,0.1034843205574913,0.3209059233449477,0.3209059233449477,0.11289198606271778,2.68,0.28931809223492316,0.24832479306267244,0.18762317698068584,0.2471422940480883,0.4682926829268293,0.03554006968641115,0.021254355400696864,0.010801393728222997,0.0062717770034843206,0.010104529616724738,0.00662020905923345,0.0013937282229965157,0.005923344947735192,0.004878048780487805,0.0027874564459930314,0.0020905923344947735,0.005226480836236934,0.0017421602787456446,0.0013937282229965157,0.0010452961672473868,0.032752613240418116,0.005226480836236934,0.0013937282229965157,0.020557491289198607,0.0062717770034843206,0.0024390243902439024,0.005226480836236934,0.004181184668989547,0.00662020905923345,0.0027874564459930314,0.011846689895470384,0.0020905923344947735,0.003832752613240418,0.003832752613240418,0.0013937282229965157,0.004878048780487805,0.0017421602787456446,0.0024390243902439024,0.0,0.005226480836236934,0.09303135888501742,0.06898954703832752,0.013588850174216028,0.08153310104529617,0.003484320557491289,0.0024390243902439024,0.0006968641114982578,0.004181184668989547,0.0006968641114982578,123.0,12.0185185185185,688.0,56.0
01_020,01,01,020,0.4112873978674423,16,11,8,31,8,0,0,3,2,60,0,10,1,8,0,3,3,100,77.7,28.337882395382398,9.864197530864198,0.5265632346027268,0.07804419370004702,0.08321579689703808,0.31828866948754114,0.31828866948754114,0.17254348848142925,2.32,0.13685289595079447,0.14402870322911326,0.23680164018452077,0.45156330087134805,0.6168312176774801,0.07099200752233192,0.04184297132110954,0.020216267042783263,0.0004701457451810061,0.017395392571697227,0.008932769158439116,0.003291020216267043,0.0023507287259050304,0.009402914903620122,0.0028208744710860366,0.0014104372355430183,0.0023507287259050304,0.007992477668077104,0.003291020216267043,0.0037611659614480487,0.012693935119887164,0.0,0.0004701457451810061,0.0018805829807240243,0.010343206393982134,0.005641748942172073,0.0023507287259050304,0.0,0.007992477668077104,0.0061118946873530795,0.00846262341325811,0.0028208744710860366,0.013634226610249177,0.008932769158439116,0.0009402914903620122,0.0061118946873530795,0.0009402914903620122,0.0004701457451810061,0.0,0.005641748942172073,0.0028208744710860366,0.024917724494593323,0.006582040432534086,0.009873060648801129,0.0,0.0,0.0004701457451810061,0.0028208744710860366,0.004231311706629055,175.0,12.10458697694,808.0,68.0
