Tag,Distance_Center,Nationality_Italy,Nationality_UK,POI_Restaurants_Hotels,Nationality_Spain,Percentage_Age_0_14,Percentage_Age_65_Plus,POI_Souvenirs_Thrift_Store,Intercept
02_013,-0.3838663938310557,,,0.3664896380343827,,,,,
02_014,-0.44165153980563765,,,0.36571402715428303,,,,,
02_015,-0.4114472749622047,,,0.3593958637942971,,,,,
02_016,-0.3483940319232526,,,0.3553669228340447,,,,,0.24959754434073006
02_017,-0.29529235345079496,,,0.3584569756877401,,,,,0.3538384509878748
02_018,-0.33044540836376934,,,0.3486117518684281,,,,,0.31047100383668913
02_019,-0.347798481354762,,,0.34986561365558466,,,,,0.28197938594430083
02_020,-0.3842545910472597,,,0.3491347266304027,,,,,0.21614453190901559
02_021,-0.4627901417334826,,,0.35397169235146886,,,,,
02_022,-0.5154608545122221,,,0.36080349436716197,,,,,
02_023,-0.5235892337890906,,,0.3525639044527078,,,,,
02_024,-0.4410786755564691,,,0.3420472510233375,,,,,
02_025,-0.5160892917895691,,,0.3338591681698757,,,,,
02_026,-0.49857966231891804,,,0.3235203923919242,,,,,
02_027,-0.5584316211457061,,,0.3016568945723175,,-0.1737659092078408,,,
02_028,-0.5636901488198621,,,0.3217220057290935,,,,,
02_029,-0.553952610159478,,,0.33947731132429115,,,,,
02_030,-0.5940233509001146,,,0.3445496343522837,,,,,
02_031,-0.6257730328643919,,,0.33219055032856853,,,,,
02_032,-0.6335566133558679,,,0.31449097735046894,,,,,
02_033,-0.6280331413354463,,,0.290819393581822,,,,,
02_034,-0.5932409642595546,,,0.28566033869868573,,-0.17410495054302147,,,
02_035,-0.5628278713352266,,,0.2849140498527142,,-0.1903093443389433,,,
02_036,-0.5954735402038114,,,0.26931318150888517,,-0.18356298374235844,,,
02_037,-0.6399040145413326,,,0.27049551357834084,,,,,
02_038,-0.6902269870848664,,,0.28004340385345317,,,,,
02_039,-0.6340112263557576,,,0.24966838885712536,,-0.16789680164023957,,,
02_040,-0.6821292378585234,,,0.23216406175010354,,,,,
02_041,-0.6117316692725605,,,0.22511895110567354,,-0.17766564151287492,,,
02_042,-0.5452026551909451,,,0.22560359463395593,,-0.19869522891329236,,,
02_043,-0.49998869772913224,,,0.22437216242753358,,-0.20587256396329517,,,
02_044,-0.5051410801902524,,,0.2467621653753364,,-0.20813243051271937,,,
02_045,-0.5343153984417354,,,0.2463340646955906,,-0.20262955094357857,,,
02_046,-0.5805533542652069,,,0.24855354067411406,,-0.1912659382915918,,,
02_047,-0.5442094523919739,,,0.26406094957164206,,-0.19996521040086665,,,
02_048,-0.5033619485320536,,,0.26628256464899674,,-0.2074555601377502,,,
02_049,-0.501898135256646,,,0.2929040535613174,,-0.19772315682888528,,,
02_050,-0.46628469361384134,,,0.32353356168883823,,,,,
02_051,-0.43074613416942553,,,0.3251246073833023,,-0.1609844567393462,,,
02_052,-0.41153283373916594,,,0.3239344394355691,,-0.17189107598731743,,,
02_053,-0.386866998946588,,,0.3269442467767159,,-0.17364783872230946,,,
02_054,-0.4494454155167584,,,0.29092208268172026,,-0.20341591702988937,,,
02_055,-0.40534305732695736,,,0.286455035320725,,-0.19141047312844398,,,
02_056,-0.35554369418897896,,,0.3220339625764699,,-0.1674905281565053,,,
02_057,-0.35119220825292197,,,0.2852058900323689,,,,,
02_058,-0.38707664201845166,,,0.23052796021797883,,,,,
02_059,-0.3341555814300269,,,0.20994409318005394,,,,,
02_060,-0.3272474325119849,,,0.25167506633488984,,,,,
02_061,-0.2984618676153524,,,0.34851967945185575,,,,,0.3432524205531598
02_062,,,,0.3224439193479005,,,,,0.3394972246365115
02_063,,,,0.26675544124531264,,,,,
02_064,,,,0.310276542126636,,,,,0.3654127741386837
02_065,,,,0.3476626045768421,,,,,0.42766834923085845
02_066,,,,0.36059042309706907,,,,,0.38697697042205664
02_067,,,,0.3653516612780868,,,,,0.4121474308626452
02_068,,,,0.36723355860600304,,,,,0.4293258091997141
02_069,,,,0.37332130740017483,,,,,0.4707430853404229
02_070,,,,0.36150888587004437,,,,,0.4823269802903241
02_071,,,,0.37090302564051164,,,,,0.5147824960946095
02_072,,,,0.3784731810134961,,,,,0.5418104878063084
02_073,,,,0.3834517350175793,,,,,0.5293860867295637
02_074,,,,0.3847153863037309,,,,,0.5252730698788053
02_075,,,,0.3866199858196742,,,,,0.5409080056229376
02_076,,,,0.38429098187966276,,,,,0.5635467225961004
02_077,,,,0.33379093927465187,,,,,
02_078,,,,0.3365322156876383,,,,,0.4541378872556237
02_079,,,,0.28963272539077367,,,,,
02_080,,,,0.27566646232486824,,,,,
02_081,,,,0.24581234856745,,,,,
02_082,,,,0.21301565400767453,,,,,
02_083,,,,0.21856446331241325,,,,,
02_084,,,,0.25088978252553407,,,,,
02_085,,,,0.2504042317776502,,,,,
02_086,,,,0.27504437880994037,,,,,
