,price,accommodates,review_scores_location,latitude,longitude
71,$180.00,8,10.0,41.37671231497699,2.1735383126654426
72,$50.00,2,10.0,41.3797385300398,2.1709554004296936
73,$55.00,2,10.0,41.37889924440604,2.17360888687585
74,$120.00,2,10.0,41.37950274327606,2.1697581832284616
75,$40.00,2,9.0,41.38216736974197,2.163744984406694
76,$40.00,2,10.0,41.3786106945817,2.1671807792188726
77,$56.00,2,10.0,41.37811400367996,2.175355385597067
78,$20.00,1,,41.38418124532939,2.169362993985719
79,$80.00,2,9.0,41.38422967944133,2.164796622368933
80,$30.00,2,9.0,41.3800483753068,2.172134108191998
81,$45.00,2,9.0,41.37987850563599,2.1700195776683096
82,$180.00,9,10.0,41.3768450105756,2.173843684257381
83,$46.00,4,8.0,41.37748986297181,2.1692157045189417
84,$42.00,2,10.0,41.37893658964208,2.16505143804024
85,$350.00,9,9.0,41.37927152453535,2.16884353649859
86,$75.00,2,9.0,41.37813226351153,2.169542969308853
87,$25.00,1,,41.37822703604861,2.1741411881983894
88,$88.00,6,9.0,41.38317961642691,2.167411839364384
89,$24.00,2,,41.378839719147614,2.174148064024851
90,$25.00,2,7.0,41.37747579790074,2.1728687157137587
91,$67.00,6,,41.37763908213034,2.1655874660431635
92,$35.00,2,,41.38154945361072,2.1663493150900206
93,$110.00,3,10.0,41.37657939850293,2.1745901433815344
94,$170.00,4,,41.37817939496612,2.169276001702157
95,$42.00,2,6.0,41.3816331765703,2.166357890774584
96,$175.00,4,10.0,41.37894607740822,2.1705881116635344
97,$79.00,2,10.0,41.37943882908089,2.16391581667628
98,$32.00,1,10.0,41.37807867620585,2.174673253044653
99,$119.00,5,9.0,41.37950101934791,2.165069558810601
100,$100.00,4,10.0,41.38014251549559,2.172647385888909
101,$95.00,2,10.0,41.38250806496669,2.1654196632371545
102,$30.00,2,7.0,41.377765829318726,2.173721191078592
103,$85.00,2,10.0,41.37987793879566,2.1742064835793022
104,$150.00,5,8.0,41.37602946497597,2.172605954855056
105,$117.00,6,,41.38112308048217,2.165648027159764
106,$31.00,2,9.0,41.37926643742816,2.166347535720437
107,$171.00,8,,41.38242732263121,2.166548660071452
108,$23.00,2,10.0,41.38288827524454,2.165407535988862
109,$100.00,3,9.0,41.38042770881918,2.1657794797267225
110,$60.00,2,,41.38336405927917,2.166092936213208
111,$80.00,5,5.0,41.37711987678151,2.167057982596255
112,$20.00,1,10.0,41.377449021413234,2.1705631014789954
113,$75.00,2,10.0,41.38063392531343,2.1699467212762014
114,$25.00,2,9.0,41.37788383894394,2.170791877434826
115,$100.00,5,9.0,41.3804042392175,2.167301430083513
116,$110.00,8,9.0,41.37527237199553,2.175180918667626
117,$75.00,3,10.0,41.383749105453056,2.16985369764608
118,$71.00,2,10.0,41.37801453565199,2.170713127687738
119,$90.00,2,10.0,41.38369583462244,2.164817744583124
120,$104.00,6,10.0,41.381672261526056,2.167205482131527
121,$112.00,8,10.0,41.38278623379781,2.1657789562811067
122,$117.00,6,8.0,41.38301570006997,2.1674183144800474
123,$112.00,8,10.0,41.38328055127188,2.166790735302491
124,$40.00,1,,41.38259135512384,2.165944672031711
125,$60.00,2,,41.37788184389038,2.16531238211896
126,$90.00,2,7.0,41.38100014604892,2.167718055553176
127,$16.00,2,10.0,41.38308870810062,2.164385713184162
128,$27.00,1,10.0,41.38156832345547,2.167377439503993
129,$25.00,1,9.0,41.3805617674488,2.1727284826047923
130,$150.00,2,9.0,41.37820177393544,2.174678264474714
131,$55.00,4,8.0,41.38047971112044,2.1704065312010727
132,$50.00,2,,41.38157350140682,2.166497626971904
133,$112.00,8,4.0,41.38278976306566,2.1652160826686866
134,$70.00,4,,41.38580782188782,2.164999316353971
135,$70.00,4,,41.37888659728085,2.166400995779988
136,$35.00,2,,41.377354727513485,2.167994130563464
