Tag,Distance_Center,Nationality_Italy,Nationality_Spain,Nationality_UK,POI_Restaurants_Hotels,Percentage_Age_65_Plus,Percentage_Age_0_14,POI_Education,Intercept
02_039,-0.6401217168133612,,,,0.26805217826435507,,,,
02_040,-0.6841295575960794,,,,0.24826538009032326,,,,
02_041,-0.6137108906619568,,,,0.24475104447104104,,,,
02_042,-0.533953586966476,,,,0.2520223245454135,,-0.17847174360924947,,
02_043,-0.48111380407288573,,,,0.26236388950778916,,-0.18750159836333963,,
02_044,-0.4876929575433505,,,,0.2762926018840126,,-0.18588048438023239,,
02_045,-0.5239788034040836,,,,0.27153365586679545,,-0.18028301963209034,,
02_046,-0.5796470825835341,,,,0.26994494513033923,,-0.17117177393242325,,
02_047,-0.5386091164863828,,,,0.2843534809426105,,-0.17640663320379846,,
02_048,-0.4902070397529382,,,,0.29168942772951345,,-0.18314163185769425,,
02_049,-0.4965732383755481,,,,0.31252584403261036,,-0.17112938579979908,,
02_050,-0.46519724365751475,,,,0.3363626806623749,,,,
02_051,-0.43021320577041594,,,,0.336708085098112,,,,
02_052,-0.40812930283581456,,,,0.333238520940731,,,,
02_053,-0.3840347423402127,,,,0.3356833958201543,,,,
02_054,-0.43632358843202435,,,,0.31184899155557216,,-0.18130560662036466,,
02_055,-0.3932971681411073,,,,0.305624589717851,,-0.17928553983724102,,
02_056,-0.3517852474903584,,,,0.3296075261509257,,,,
02_057,-0.34039525694646194,,,,0.29905209396147187,,,,
02_058,-0.36159844709991046,,,,0.2591251193622303,,,,
02_059,-0.30604663865672,,,,0.23603656221511937,,,,
02_060,-0.3064135828149697,,,,0.27040317860447494,,,,
02_061,-0.3047092708608689,,,,0.34750496039127216,,,,0.31046213009503926
02_062,,,,,0.3239354217967077,,,,0.3157376852031682
02_063,,,,,0.2770963357964402,,,,
02_064,,,,,0.30899770462802495,,,,0.34541184113809614
02_065,,,,,0.33950099044586873,,,,0.3912210175040098
02_066,,,,,0.35575576827881533,,,,0.34393868040871595
02_067,,,,,0.3596623368535333,,,,0.3653366637912898
02_068,,,,,0.3605230992983147,,,,0.37505607242656797
02_069,,,,,0.3618214173438981,,,,0.4130362793434715
02_070,,,,,0.34696165038458193,,,,0.43115415123675604
02_071,,,,,0.35334763603757396,,,,0.45197260696779923
02_072,,,,,0.3594343204548626,,,,0.4697464772844737
02_073,,,,,0.3698198549338095,,,,0.4545926739722353
02_074,,,,,0.37094825531231396,,,,0.4369839126456436
02_075,,,,,0.36807556939521585,,,,0.4529052983508354
02_076,,,,,0.36351804229590085,,,,0.4804224436144239
02_077,,,,,0.31667127254871547,,,,
02_078,,,,,0.31571268258637103,,,,
02_079,,,,,0.2702577019353371,,,,
02_080,,,,,0.27035384586877015,,,,
02_081,,,,,0.2337322837180439,,,,
02_082,,,,,0.2253373859896443,,,,
02_083,,,,,0.21875986428314576,,,,
02_084,,,,,0.24470849747926507,,,,
02_085,,,,,0.24943106166381024,,,,
02_086,,,,,0.274649966032718,,,,
02_087,,,-0.3629869954488384,,0.25799747145149876,,,,
02_088,,,,,0.24227409632261368,,,,
02_089,,,,,0.23748795929799107,,,,
02_090,,,,,0.2344768691201004,,,,
02_091,,,,,0.23891120579709257,,,,
02_092,,,,,0.2245649477405057,,,,
02_093,,,-0.30270809726514375,,0.22066379561141397,,,,
02_094,,,,,0.21233052811261532,,,,
02_095,,,,,0.2074423108473918,,,,
02_096,,,-0.30857487596043975,,0.21771065701237316,,,,
02_097,,,-0.32320352237822975,,0.22237734522766536,,,,
02_098,,,-0.32712643270543473,,0.23536277665507582,,,,
02_099,,,-0.3374868861889856,,0.23801007021485254,,,,
02_100,,,-0.34187918606688533,,0.24129904577320857,,,,
02_101,,,-0.35114725297879473,,0.25534354664347325,,,,
02_102,,,-0.3620025751240608,,0.2650651370918186,,,,
02_103,,,-0.3515673511386621,,0.2731249722973002,,,,
02_104,,,-0.30795094069128964,,0.27648397448751283,,,,
