Tag,Distance_Center,Nationality_Italy,Education_University,Nationality_UK,Nationality_Spain,POI_Restaurants_Hotels,Intercept
02_014,,,0.4021207977303371,,-0.37200020582922944,0.3316302749474531,
02_015,,,,,-0.3246566017578451,0.3516811365627538,0.3063039671184445
02_016,,,,,,0.3724241061634049,0.3861403756350337
02_017,,,,,,0.39858151672675995,0.4752936809612373
02_018,,,,,,0.39673682844997027,0.44505831512029664
02_019,,,,,,0.38540790204463077,0.4216777068156442
02_020,,,,,,0.3685161694572639,0.368575307637102
02_021,,,,,,0.3398420495379551,0.28483482183483444
02_022,,,0.47799164490916984,,-0.3506243567105015,0.3033527302588501,
02_023,,,0.5012010231266082,,,0.31870486227649253,0.24252557622956952
02_024,,,,,,0.35843957773537494,0.3259514530586161
02_025,,,,,,0.33653686164443136,0.2726269130451359
02_026,,,,,,0.3482076345689721,0.2823282258344044
02_027,,,,,,0.3353780996646156,
02_028,,,,,,0.3243809164194533,0.23406777589002928
02_029,,,0.4900133964117936,,,0.31531282748419037,0.23961801853680498
02_030,,,0.5448239837417749,,,0.2930808096104888,
02_031,,,0.5159609775231818,,,0.288974462193692,
02_032,,,,,,0.3024441489783396,
02_033,-0.47671757475277743,,,,,0.3057076110907433,
02_034,-0.4713241137516441,,,,,0.32331180323008224,
02_035,-0.48658748128211043,,,,,0.33917966102005237,
02_036,-0.5507439958477665,,,,,0.32255566020741616,
02_037,-0.540901120715359,,,,,0.29751248826231774,
02_038,-0.5595565618367513,,,,,0.28010776424651107,
02_039,-0.5647354730357262,,,,,0.2848994224773941,
02_040,-0.5471387195468391,,,,,0.23866805556796655,
02_041,-0.5735265316816353,,,,,0.2623916777466928,
02_042,-0.651365711429424,,,,,0.28006772307612754,
02_043,-0.7262765189443897,,,,,0.27113315510955444,
02_044,-0.7031561257968634,,,,,0.30426764033618797,
02_045,-0.6658138973827978,,,,,0.31515452785897946,
02_046,-0.609592461702281,,,,,0.30685421775515154,
02_047,-0.6001448482054486,,,,,0.3344404396357872,
02_048,-0.657042706662953,,,,,0.3334599325025261,
02_049,-0.49126833155728883,,,,,0.35712071124279254,
02_050,,,,,,0.3615480950887886,0.3022342028611321
02_051,,,,,,0.37451195123893555,0.32711114751374304
02_052,,,,,,0.3778233846968847,0.32915778432365317
