Tag,Distance_Center,Nationality_Italy,Education_University,Nationality_UK,Nationality_Spain,POI_Restaurants_Hotels,Intercept
01_051,,,,,,0.4173600875527065,
01_052,,,,,,0.41302429568581783,
01_053,,,,,,0.420629054111282,
01_054,,,,,,0.42583894355872337,
01_055,,,,,,0.4145812752205429,0.5091283872649722
02_001,,,,,,0.3713839403321773,0.5113783589916745
02_002,,,,,,0.38266433087761653,0.5634661338099064
02_003,,,,,,0.3519992639523683,0.4693828012444519
02_004,,,,,,0.3620147815111882,0.5038777862877472
02_005,,,,,,0.3834312288062002,0.5612517774398013
02_006,,,,,,0.4038358049588152,0.60862291482707
02_007,,,,,,0.40357041804304594,0.608412045113471
02_008,,,,,,0.371652177673196,0.5200235835180099
02_009,,,,,,0.34926104858039364,0.46049392029329217
02_010,,,,,,0.3372065149844189,0.40940877099718215
02_011,,,,,-0.34709639423609107,0.33397775596897555,0.3928957255455851
02_012,,,,,-0.36661804360751965,0.32884506274293956,0.37768541316560933
02_013,,,,,-0.3808215838591324,0.31749141411374787,0.2941124117749507
02_014,,,,,-0.3450144539995331,0.3152161070990673,0.291847395760487
02_015,,,,,,0.32762309391979,0.369738691705005
02_016,,,,,,0.3514206168305447,0.45995218525269044
02_017,,,,,,0.383953967758036,0.5379837032885088
02_018,,,,,,0.38770515806572053,0.4919844480315691
02_019,,,,,,0.3687487118523971,0.4823725860125172
02_020,,,,,,0.3452640166112108,0.42908896920117784
02_021,,,,,,0.3190634764710734,0.332571539783911
02_022,,,0.45731093099502496,,-0.31175090486044915,0.29569748310624067,0.2339267643398031
02_023,,,0.4771553067298669,,,0.30326461292715323,0.2726747563995331
02_024,,,,,,0.3330541387901786,0.36973120050394126
02_025,,,,,,0.3158023481200118,0.2948950497753178
02_026,,,,,,0.3297433998168713,0.31000899782477215
02_027,,,,,,0.3301010094469608,
02_028,,,,,,0.31027347314880366,0.24374363009924907
02_029,,,,,,0.30278769958525387,0.25897593377341027
02_030,,,0.4948975847396578,,,0.2873238658982277,
02_031,,,,,,0.2864621762755941,
02_032,-0.5119937492260932,,,,,0.29746828859091745,
02_033,-0.576502149154458,,,,,0.30520627814078,
02_034,-0.5633933100272367,,,,,0.3258554039411446,
02_035,-0.5621636674755746,,,,,0.3445578759067716,
02_036,-0.6375565738510622,,,,,0.33369133228791337,
02_037,-0.6422613646094223,,,,,0.303566752145065,
02_038,-0.6779418758956806,,,,,0.28564726386250106,
