Tag,Distance_Center,Nationality_Italy,POI_Restaurants_Hotels,Nationality_UK,Nationality_Spain,POI_Esthetics,Intercept
02_010,-0.3192653546142138,,0.3668019607670757,,,,0.2238800205653789
02_011,-0.3001953166375584,,0.37536643285652277,,,,0.2269160146466244
02_012,-0.2860663572866868,,0.38575498208087455,,,,0.22646138059184176
02_013,-0.357391963141858,,0.3815642985339777,,,,
02_014,-0.4326173040819303,,0.3723478526719864,,,,
02_015,-0.3826272000245259,,0.35876448233287095,,,,
02_016,-0.2997908424953956,,0.3506052726813006,,,,0.2721603555387721
02_017,,,0.3368781080049303,,,,0.34122439161159274
02_018,,,0.3002470960866951,,,,0.3263926362312706
02_019,-0.30607844714326676,,0.3194951852617542,,,,0.3018251713289165
02_020,-0.3404978049983885,,0.3339620213512644,,,,0.2539525284247554
02_021,-0.4451841358077271,,0.351985203664298,,,,
02_022,-0.536410345242625,,0.3731336101188628,,,,
02_023,-0.5308635457796129,,0.3590695610372473,,,,
02_024,-0.4074571809894295,,0.32792633603351984,,,,0.20041326661160636
02_025,-0.5073023930643211,,0.3354398545525029,,,,
02_026,-0.47021350183938726,,0.31604213782577795,,,,
02_027,-0.5503029918974874,,0.3025073696226072,,,,
02_028,-0.5709258843222024,,0.3313428070817133,,,,
02_029,-0.5651249738329638,,0.34906918532323916,,,,
02_030,-0.6306800946670632,,0.36315279574794407,,,,
02_031,-0.6680187352652925,,0.35442594570532704,,,,
02_032,-0.6740546796300448,,0.33818099795313683,,,,
02_033,-0.6729872127125536,,0.316493159724967,,,,
02_034,-0.6099900000303154,,0.29488593749700687,,,,
02_035,-0.5539955589633756,,0.2742421555247322,,,,
02_036,-0.6225293988858688,,0.2720258230126014,,,,
02_037,-0.7019785341509548,,0.30136058224494666,,,,
02_038,-0.7591155814434076,,0.3228896432129466,,,,
02_039,-0.7011213429969112,,0.27404878905283353,,,,
02_040,-0.7579181188473003,,0.27489086930848927,,,,
02_041,-0.6884059051359002,,0.2356211655354308,,,,
02_042,-0.5976283639351962,,0.19976960663798662,,,,
02_043,-0.5231812467936778,,,,,,
02_044,-0.505466678230878,,0.19701948846189202,,,,
02_045,-0.5557272956440255,,0.21374708686009614,,,,
02_046,-0.6237919048247303,,0.23753737222252091,,,,
02_047,-0.5465104722862355,,0.23890988532291282,,,,
02_048,-0.48283534467172473,,0.21863889286479876,,,,
02_049,-0.46178554294931373,,0.2563254485133421,,,,
02_050,-0.423253647743534,,0.3029855710348796,,,,0.2139561458270421
02_051,-0.38171811351970125,,0.289973366435901,,,,0.25454154162620757
02_052,-0.3651219961889544,,0.2691883233750983,,,,0.2775832099087458
02_053,-0.34707340322862756,,0.25945049783111984,,,,0.29577414680544906
02_054,-0.40629120970403404,,0.2244736158038388,,,,0.24731988695837417
02_055,-0.3655175889158199,,0.2116759616534318,,,,
02_056,-0.3267010341240157,,0.2471151285168957,,,,0.314020728348795
02_057,-0.33062770131701696,,0.21529486639813425,,,,
02_058,-0.36855225565741595,,,,,,
02_059,,,,,,,
02_060,,,0.2048049796798872,,,,
02_061,,,0.2825123818004258,,,,0.35825556617880033
02_062,,,0.2585744247988251,,,,0.36154787751375056
02_063,,,0.2404032087303919,,,,
02_064,,,0.28095721574523724,,,,0.38420197957884683
02_065,,,0.3012765417490286,,,,0.41866012691604493
02_066,,,0.30853015764358344,,,,0.3766189460259318
02_067,,,0.3293319332345775,,,,0.3844343225861691
02_068,,,0.3486601134655938,,,,0.39160473221315195
02_069,,,0.33710664702513216,,,,0.43157077107623254
02_070,,,0.32844475066680023,,,,0.4431194614204169
02_071,,,0.34731629756665694,,,,0.4597875559355515
02_072,,,0.3646036581755381,,-0.23831556429030218,,0.4715702213311665
02_073,,,0.3851783740225559,,-0.24049764303572588,,0.4703463187269779
02_074,,,0.40279711727694245,,-0.2269404164930377,,0.4574756468837332
02_075,,,0.39862335252648434,,-0.2370766773987215,,0.4613215962120763
02_076,,,0.38529460546845185,,-0.2399002401633521,,0.47749080823879514
02_077,,,0.3394852795303842,,-0.20769762147664045,,
02_078,,,0.3340093529299528,,,,
02_079,,,0.2971215945144299,,,,
02_080,,,0.2846059807498556,,,,
02_081,,,0.26636296833711753,,,,
02_082,,,0.21543393742901198,,,,
02_083,,,0.23667619026300987,,,,
02_084,,,0.26026681629000276,,,,
02_085,,,0.26109138566005335,,,,
02_086,,,0.2779456967313505,,,,
02_087,,,0.2686065424326569,,,,
02_088,,,0.2596881499907494,,,,
02_089,,,0.25582866738306304,,,,
02_090,,,0.2541148964609458,,,,
02_091,,,0.2661667357301567,,,,
02_092,,,0.2507262596477168,,,,
02_093,-0.38390682860657627,,0.24526442366337134,,,,
02_094,,,0.2468996673974585,,,,
02_095,-0.3679254934680109,,0.24672369583735398,,,,
02_096,-0.3973793482695464,,0.24605248887393033,,,,
02_097,-0.4174985251425739,,0.2501492019118779,,,,
02_098,-0.4110929113233091,,0.2523998571473001,,,,
02_099,-0.4351913466220855,,0.25553665378708323,,,,
02_100,-0.44007814626064856,,0.2592233810497126,,,,
02_101,-0.4491770866572269,,0.2670680752528708,,,,
02_102,-0.406545852196656,,0.2744271468069706,,,,
02_103,-0.47568831053586497,,0.2790224136218186,,,,
02_104,-0.5016559253802672,,0.2801696798130599,,,,
02_105,-0.4289756103111506,,0.28201064046728896,,,,
02_106,-0.374521056252858,,0.28041261814236573,,,,
02_107,-0.4354775094889302,,0.28275608090175314,,,,
02_108,-0.49215723215254076,,0.2752472917001215,,,,-0.3058292868918494
02_109,-0.5295143413788873,,0.2596347318329206,,,,-0.32784559426658305
02_110,-0.5264080258440847,,0.26538441074686087,,,,-0.2851357306260489
02_111,-0.4851394068505284,,0.23782789800357274,,,,-0.25135153505391405
02_112,-0.3926767195358523,,0.21946593028425024,,-0.2548110750281991,,
02_113,-0.4407138297467854,,0.23693909217436235,0.1994956948344122,-0.27487968203975544,,
02_114,-0.4165308286560186,,0.23693472562716592,0.20951698603728897,-0.29629538030239055,,
02_115,-0.422465506627921,,0.2455235798829318,0.21207301529296058,-0.2958991685412743,,
02_116,-0.4735161458463408,,0.26327787298232463,,-0.2699891802380438,,
02_117,-0.49700950603517613,,0.2738640948245184,,,,
02_118,-0.45064464755713945,,0.2639139862153901,,,,
02_119,-0.43775377491497475,,0.2589735000889949,,-0.2580928991853369,,
02_120,-0.39782883689191884,,0.2458476996143851,0.21623100559284775,-0.28912102996189837,,
02_121,-0.3849339976144379,,0.24965587599785466,0.21145771645837258,-0.26054453446744663,,
02_122,-0.343106765751396,,0.2295808190853881,0.22901830356741731,-0.3095920175391797,,
02_123,-0.36236880896766355,,0.2288310187532737,0.2257681126479513,-0.31367376782961753,,
02_124,,,0.21097372768716016,0.2277704267396411,-0.3069138979841432,,
02_125,,,0.20399221584187452,0.21808358919627424,-0.28796773142926035,,
02_126,,,0.1930293378875374,0.2409344709670781,-0.30070462384295216,,
02_127,,,0.19567249302948886,0.2502084183998485,-0.31174476654028455,,
02_128,,,0.21545200015765933,0.24133430463715083,-0.32031306456787045,,
02_129,,,0.1976772067159251,0.2538628414364539,-0.31438991179732084,,
02_130,,,0.19880507571630326,0.2588774326699395,-0.29573092506471194,,
02_131,,,0.215432186551184,0.24371732049660802,-0.27547570235632424,,
02_132,,,0.21494024719773233,0.24063584151323333,-0.28513105293034735,,
02_133,,,0.20177220116315464,0.2540619130073455,-0.3064318529123462,,
02_134,,,0.20859793109032806,0.2453943540705213,-0.3101650336194058,,
02_135,,,0.22381620391733006,0.23180375288191019,-0.28455720272074875,,
02_136,,,0.22020017532405545,0.23538107470374317,-0.30292566757991235,,
02_137,-0.3128340745277388,,0.23705950691937247,0.22041320883527782,-0.2690278943184825,,
02_138,-0.3673234715229435,,0.2512497825386688,,-0.23365957265853018,,
02_139,-0.395477514643461,,0.2539180485960853,,,,
02_140,-0.34846612793474696,,0.2510488695027909,,-0.21411026300213165,,
02_141,,,0.24391866271774426,,-0.23620230798770278,,
02_142,,,0.24887921633787463,,-0.21453431495628955,,
02_143,-0.3582386881339426,,0.24971014545734269,,,,
02_144,-0.3279436925261917,,0.25031429365576396,,,,
02_145,,,0.2517912385098445,,-0.20751164269376768,,
02_146,,,0.25006611876717627,,-0.21077986196988416,,
02_147,,,0.24123660894150603,0.21360617461403983,-0.23615477865296539,,
02_148,,,0.2351899637431359,0.22248541490954296,-0.24466543716532801,,
02_149,,,0.25299894655078503,,,,
02_150,,,0.2620703085709172,,,,
02_151,,,0.2569015498979524,,,,
02_152,,,0.25487291330379586,,-0.20305057374426883,,
02_153,,,0.25931851472201406,,-0.19742668816306375,,
02_154,,,0.26269931491785,,,,
02_155,,,0.2647077817842733,,,,
02_156,,,0.2666373313993842,,,,
02_157,,,0.26304380057113086,,,,
02_158,,,0.2591407892019315,,,,
02_159,,,0.2557049490484211,,-0.2022275126288456,,
02_160,,,0.2513464305482059,,,,
02_161,,,0.2568146225230001,,,,
02_162,,,0.2545910978562048,,,,
02_163,,,0.24986113144450833,,,,
02_164,,,0.261832162874939,,,,
