Tag,Distance_Center,Nationality_Italy,Nationality_Spain,Education_University,Nationality_UK,POI_Restaurants_Hotels,Percentage_Age_0_14,Percentage_Age_65_Plus,POI_Education,Intercept
02_061,,,,,,0.2859822392002687,,,,0.28871522686736045
02_062,,,,,,0.27611871864483495,,,,0.2951754787509709
02_063,,,,,,0.24127494930934446,,,,
02_064,,,,,,0.26621890320511177,,,,0.3185383702531696
02_065,,,,,,0.2892948238698942,,,,0.36080849274719035
02_066,,,,,,0.2943239958269831,,,,0.319863704345899
02_067,,,,,,0.30005937734931787,,,,0.3406499388405437
02_068,,,,,,0.3065863177334849,,,,0.35979234789892234
02_069,,,,,,0.3058507489056832,,,,0.38998261768886805
02_070,,,,,,0.2974317127593812,,,,0.4007056781974867
02_071,,,,,,0.3074092150262709,,,,0.4338269393873931
02_072,,,,,,0.31446552761377167,,,,0.4545837703232509
02_073,,,,,,0.3218387224988829,,,,0.4481218087465555
02_074,,,,,,0.3300710134467506,,,,0.4477620293518647
02_075,,,,,,0.33165311944790665,,,,0.48033185529543687
02_076,,,,,,0.3244430949436651,,,,0.48759513158127776
02_077,,,,,,0.2925760086309984,,,,
02_078,,,,,,0.28997828277644333,,,,0.3960306339448203
02_079,,,,,,0.26311484693495824,,,,
02_080,,,,,,0.24710468607143346,,,,
02_081,,,,,,0.23348690707847103,,,,
02_082,,,,,,0.21007392953982584,,,,
02_083,,,,,,0.21694363058631094,,,,
02_084,,,,,,0.24127721385479517,,,,
02_085,,,,,,0.23694113300724776,,,,
02_086,,,,,,0.2508140626709118,,,,
02_087,,,,,,0.2551278877696112,,,,
02_088,,,,,,0.2432157022623672,,,,
02_089,,,,,,0.24172816925166157,,,,
02_090,,,,,,0.24261339815252894,,,,
02_091,,,,,,0.24625321223256738,,,,
02_092,,,,,,0.24317023482671093,,,,
02_093,-0.31469173912399634,,,,,0.24584739019138774,,,,
02_094,-0.3237171493071106,,,,,0.24120217671077132,,,,
02_095,-0.32780399522009473,,,,,0.2479774542068355,,,,
02_096,-0.3265112503888423,,,,,0.2500759816567955,,,,
02_097,-0.3327016781635702,,,,,0.25967744065496573,,,,
02_098,,,,,,0.2530924370521904,,,,
02_099,-0.32054522076472475,,,,,0.2613100809708619,,,,
02_100,-0.3405602790657459,,,,,0.2691687886423527,,,,
02_101,-0.32228477135376576,,,,,0.2672969635614839,,,,
02_102,,,,,,0.2636307879822589,,,,
02_103,-0.36097172955220835,,,,,0.272913264173438,,,,
02_104,-0.44761656992608667,,,,,0.2669628325920241,,,,
02_105,,,,,,0.26533383622108797,,,,
02_106,,,,,,0.25272655679155204,,,,
02_107,-0.4056534540475518,,,,,0.25024943926681065,,,,
02_108,-0.48608892874998444,,,,,0.24893686494465997,,,,
02_109,-0.5585374819107835,,,,,0.24806554788748958,,,,
02_110,-0.551910170839505,,,,,0.26551598646894947,,,,
02_111,-0.6038723748288946,,,,0.18611189405371437,0.2615745843291272,,,,
02_112,-0.5784840990702039,,,-0.2605362242614038,0.2072083249043008,0.2573016984898667,,,,
02_113,-0.5832779791523454,,,,0.19714664080406463,0.2630255828990315,,,,
02_114,-0.5617579804674655,,,-0.24943097698212569,0.19612189357683182,0.26363064528208985,,,,
02_115,-0.5097910821998927,,,,0.18938294776241535,0.26847348492694156,,,,
02_116,-0.4741760337009869,,,,,0.273956519264399,,,,
02_117,-0.42800955244946587,,,,,0.27573519071482255,,,,
02_118,-0.37267314709499044,,,,,0.2766656918600388,,,,
02_119,-0.4246562867791042,,,,,0.2760773412476541,,,,
02_120,-0.45301582304893645,,,,0.18905039339985805,0.2702222162753253,,,,
02_121,-0.40600479803086903,,,,,0.27289804389268074,,,,
02_122,-0.4726487167206958,,,-0.22870159430661186,0.19729085925340425,0.2616474344547121,,,,
02_123,-0.5293400346632121,,,-0.2530700732705518,0.19940260770732327,0.26032287727270814,,,,
02_124,-0.5503196418174126,,,-0.2875503092201793,0.21690258365536463,0.25015973675516434,,,,
02_125,-0.5481555153481349,,,-0.2886800117046477,0.22478509512464365,0.24829915483922166,,,,
02_126,-0.5083256456389994,,,-0.2972816830761656,0.23489416155245052,0.23258577344267217,,,,
02_127,-0.5100926016007968,,,-0.2984491371648748,0.229208625932656,0.2312471922369356,,,,
02_128,-0.4897962071208452,,,-0.2598654664056112,0.2048295504660667,0.2513138937399309,,,,
02_129,-0.49311834968193136,,,-0.291415519242633,0.2228066003122462,0.22964905106436703,,,,
