Tag,Distance_Center,Nationality_Spain,Nationality_Italy,Nationality_UK,Percentage_Age_0_14,POI_Restaurants_Hotels,Percentage_Age_65_Plus,POI_Education,Intercept
02_057,-0.37417244269034333,,,,-0.18547660162122692,0.2680122832055572,,,
02_058,-0.40856792583208634,,,,,0.2207899764461647,,,
02_059,-0.3376623230117809,,,,,0.20081606052595363,,,
02_060,-0.3349467933937699,,,,,0.23800677532950193,,,
02_061,,,,,,0.34147979640377757,,,0.3419128995184511
02_062,,,,,,0.3061659927063101,,,
02_063,,,,,,0.25306152399734566,,,
02_064,,,,,,0.29729706816053636,,,0.37656752456579434
02_065,,,,,,0.33417912289309293,,,0.4328552298227705
02_066,,,,,,0.3582827589717489,,,0.39714157675657497
02_067,,,,,,0.3658378828725054,,,0.42813870380257546
02_068,,,,,,0.37415271784079085,,,0.4579356404920646
02_069,,,,,,0.36767053205834066,,,0.4802755536665059
02_070,,,,,,0.3476946370251015,,,0.48371580858905067
02_071,,,,,,0.3589821953789982,,,0.5138846390202007
02_072,,,,,,0.36727000974886986,,,0.5308704837845284
02_073,,,,,,0.38594379820649893,,,0.5371543779596595
02_074,,,,,,0.39161713089076444,,,0.5205459471870996
02_075,,,,,,0.3831965965488368,,,0.5067036593432269
02_076,,,,,,0.37416900129834035,,,0.5365084606854101
02_077,,,,,,0.32564987151367863,,,
02_078,,,,,,0.3169140928585957,,,
02_079,,,,,,0.26413949484073185,,,
02_080,,,,,,0.25587119556572063,,,
02_081,,,,,,0.22065458007424932,,,
02_082,,,,,,0.19655413373963998,,,
02_083,,,,,,0.20640233282635084,,,
02_084,,,,,,0.24616175129378448,,,
02_085,,,,,,0.25535927648996054,,,
02_086,,-0.38758508120176394,,,,0.2759800578323206,,,
02_087,,-0.3925047337765147,,,,0.2597185877738939,,,
02_088,,,,,,0.24251448943048953,,,
02_089,,,,,,0.23480128871632258,,,
02_090,,,,,,0.228660327946164,,,
02_091,,,,,,0.233282918001157,,,
02_092,,,,,,0.22007122621698866,,,
02_093,,-0.3274242489223159,,,,0.2148824177742968,,,
02_094,,,,,,0.2084635774613006,,,
02_095,,,,,,0.20078587688063299,,,
