Tag,Distance_Center,Nationality_Italy,Education_University,Nationality_UK,Nationality_Spain,POI_Restaurants_Hotels,POI_Education,Intercept
02_138,-0.45977025398206817,,,,,0.2537994729317281,,
02_139,-0.4295435289753193,,,,,0.260568838840515,,
02_140,-0.41056402737117476,,,,,0.25545531190256693,,
02_141,-0.41141938413287604,,,,,0.24325106405862187,,
02_142,-0.37152523514210345,,,,,0.24922872618691086,,
02_143,-0.38482500497392336,,,,,0.2557955922420837,,
02_144,,,,,,0.2505292692307109,,
02_145,,,,,,0.24628076721239806,,
02_146,,,,,,0.24153933392196975,,
02_147,-0.39222011586454275,,,,,0.23602565822810956,,
02_148,-0.39459800285693974,,-0.33265075289253,,,0.21914742657863479,,
02_149,,,,,,0.23259767022982908,,
02_150,,0.37661853208830975,,,,0.23478960790094905,,
02_151,,,,,,0.23653116142339345,,
02_152,,,,,,0.23930514733732583,,
02_153,,,,,,0.23566645981018652,,
02_154,,0.3444120981663658,,,,0.23181728786192562,,
02_155,,,,,,0.23083838113905436,,
02_156,,,,,,0.22914450623897747,,
02_157,,,,,,0.23371048966584193,,
02_158,,,,,,0.23795875878434933,,
02_159,,,,,,0.24197831867840744,,
02_160,,,,,,0.24402596148272052,,
02_161,,,,,,0.23833878279188314,,
02_162,,,,,,0.23878262106551687,,
02_163,,,,,,0.2503654632384416,,
02_164,,,,,,0.2770226875961179,,
02_165,,,,,,0.24523894131980117,,
02_166,,,,,,0.23746463071425702,,
02_167,,,,,,0.23365015381849308,,
02_168,,,,,,0.22857653954544213,,
02_169,,,,,,0.22890433759373144,,
02_170,,,,,,0.2311999769819135,,
02_171,,,,,,0.22295016099613976,,
02_172,,,,,,0.22463498353062009,,
02_173,,,,,,0.2240349779363297,,
03_001,,,,,,0.22520319416267065,,
03_002,,0.3343268424757425,,,,0.2230701169490967,,0.329441351185714
03_003,,0.33512817389009536,,,,0.22736514833297417,,
03_004,,0.3604729591362349,,,,0.22834485235703836,,0.3130426373973353
03_005,,0.37087189847290897,,,,0.21849179974257393,,0.3249084604852363
03_006,,,,,,0.21688728173431573,,0.3482854452186774
03_007,,,,,,0.22055360006967611,,
03_008,,,,,,0.22071539986517805,,
03_009,,,,,,0.22200789270668445,,
03_010,,,,,,0.22031599062165536,,
03_011,,,,,,0.2178317107830649,,
03_012,,,,,,0.22043832133727018,,
03_013,,,,,,0.2173447474514172,,
03_014,,,,,,0.22011675369327022,,
03_015,,,,,,0.2252501999317573,,
03_016,,,,,,0.23407437873096607,,
03_017,,,,,,0.2233465141378195,,
03_018,,,,,,0.230241577793716,,
03_019,,,,,,0.24886425644474447,,
03_020,,,,,,0.27541067853915385,,
03_021,,,,,,0.2533809871642433,,
03_022,,,,,,0.23161845451912422,,
03_023,,,,,,0.21628463825661354,,
03_024,,0.3997986709681883,,,,0.18395591810093792,,0.30477810738974415
03_025,,,,,,0.21931761797735097,,0.40164882299651455
03_026,,,,,,,,0.3273525378046842
03_027,,,,,,,,0.3127978209836202
03_028,,,,,,,,0.3032783474248161
03_029,,,,,,,,0.32214901064789964
03_030,,,,,,,,0.34104489643332075
03_031,,,,,,,,0.3576988604474095
03_032,,,,,,,,0.37130482708647544
03_033,,,,,,,,0.3364646614092004
03_034,,,,,,,,0.3405655192615966
03_035,,,,,,,,0.3170854715467428
03_036,,,,,,,,0.28639626703983506
03_037,,,,,,,,0.31805524367393445
03_038,,,,,,,,0.3444543067476581
03_039,,,,,,,,0.3055389407724531
03_040,,,,,,,,0.2777583087871424
03_041,,0.3254886090495187,,,,,,0.2584167265908695
03_042,,0.4085597946439894,,,,,,0.2602996288184861
03_043,,0.36694042777570385,,,,,,0.24164292341221796
03_044,,0.4156802693869604,,,,,,0.21909464059930578
03_045,,0.46699756635186795,,,,,,0.26306215045670756
03_046,,0.44537340030579753,,,,,,
03_047,,0.35366245195911444,,,,,,
03_048,-0.49179094242012344,,-0.35357167597473976,,,,,
03_049,-0.47242010097659337,,,,,,,
03_050,,,,,,,,
03_051,,,,,,,,0.1748947613175558
03_052,,0.32905433821551294,,,,,,
03_053,,0.38650055221814,,,,,,
03_054,,0.40658290719557666,,,,,,
03_055,,0.36569770211621483,,,,,,0.19789514194187346
03_056,,0.35084292821784774,,,,,,0.21817692996528165
03_057,,,,,,,,0.20146384454674854
03_058,,,,,,,,0.23778906152201468
03_059,,,,,,,,0.24701392077886908
03_060,,,,,,,,0.23486230863738436
03_061,,,,,,,,0.2524709856671383
03_062,,,,0.2183814005134529,,,,0.24048254412542394
03_063,,,,,,,,0.257056868048345
03_064,,,,,,,,0.2697368743524581
03_065,,,,,,,,0.2617295592767909
