Tag,Distance_Center,Nationality_Italy,Nationality_UK,Education_University,Nationality_Spain,POI_Restaurants_Hotels,Intercept
02_048,-0.7213269013004888,,,,,0.36344731729783525,
02_049,-0.49697107279572056,,,,,0.3611649268179119,
02_050,,,,,,0.3485640743270175,
02_051,,,,,,0.3659047679290597,
02_052,,,,,,0.3783621197052879,
02_053,-0.4562722375571462,,,,,0.38242446893037874,
02_054,-0.654992072582968,,,,,0.3650136086866357,
02_055,-0.6780079137978362,,,,,0.33053701277159164,
02_056,-0.5335524238305034,,,,,0.3744137600616714,
02_057,-0.61629755420475,,,,,0.32116508366557117,
02_058,-0.6518452264051158,,,,,0.2522821832983306,
02_059,-0.5445527545532423,,,,,,
02_060,-0.576810802417467,,,,,0.2825178019983486,
02_061,,,,,,0.3978952135410988,0.4022156717931237
02_062,-0.4725453233242094,,,,,0.3718566487297009,
02_063,-0.46668455410982596,,,,,0.29899776365669184,
02_064,,,,,,0.3527341806101738,
02_065,,,,,,0.39063299504435495,0.48044803667455394
02_066,,,,,,0.3965891855183433,0.44757073292170313
02_067,,,,,,0.3974754632225728,0.48412296263693105
02_068,,,,,,0.390346716238456,0.4784432276609949
02_069,,,,,,0.4018895640167248,0.535066929183938
02_070,,,,,,0.3941421852495936,0.5298704779178809
02_071,,,,,,0.39331022838160973,0.5586818453885304
02_072,,,,,,0.38829183749289037,0.5661479269974151
02_073,,,,,,0.39261449096132056,0.5488447061819838
02_074,,,,,-0.3532338433639664,0.38648463157497714,0.49967830718065365
02_075,,,,,,0.38081399983958203,
02_076,,,,,,0.37946894520699104,0.5482500991109455
02_077,,,,,,0.34629742019928533,
02_078,,,,,,0.3449727997678439,
02_079,,,,,,0.30200253929686444,
02_080,,,,,,0.29277435995627427,
02_081,,,,,,,
02_082,-0.4333344246812259,,,,,,
02_083,,,,,,,
02_084,,,,,,0.2775552662794864,
02_085,,,,,,0.2608759262980755,
02_086,-0.44279344848940905,,,,,0.2967268659022903,
02_087,,,,,,0.3034652645383378,
02_088,,,,,,0.29009046770310415,
02_089,,,,,,0.29597408957517046,
02_090,,,,,,0.29505785393539535,
02_091,,,,,,0.3010912786710355,
02_092,,,,,,0.2956756459452683,
02_093,,,,,,0.2919429665429332,
02_094,,,,,,0.2734842116360524,
02_095,,,,,,0.27309382446764485,
02_096,,,,,,0.2885633532956282,
02_097,-0.4217855002085786,,,,,0.2937001669840232,
02_098,,,,,,0.3033992528995812,
02_099,-0.4511854624818545,,,,,0.30386460497076756,
02_100,-0.46385541160987354,,,,,0.3071686856543851,
02_101,-0.47769303027613685,,,,,0.312322431208899,
02_102,-0.46121960434689624,,,,,0.3107648254389186,
02_103,-0.5186283453395344,,,,,0.3276054662937013,
02_104,-0.5642128192183719,,,,,0.34953453646699495,
02_105,-0.5020751955568521,,,,,0.3275004911598238,
02_106,-0.4896594872716173,,,,,0.32450817975883794,
02_107,-0.5405449291773772,,,,,0.34479433526213626,
02_108,-0.5963543878851273,,,,,0.3628689121464123,
02_109,-0.6432307087539813,,,,,0.3624830773311209,
02_110,-0.6231889500506794,,,,,0.3553941625415344,
02_111,-0.6615025066137303,,,-0.34115635721681814,,0.33331113149592495,
02_112,-0.6320474824930605,,,-0.35522813620763394,,0.30650729174777414,
02_113,-0.6158144906237211,,,-0.34808435888750744,,0.32582241866286765,
02_114,-0.5679330961973235,,,,,0.3247437120089151,
02_115,-0.536866358339363,,,,,0.3296799391261164,
02_116,-0.5492387632539208,,,,,0.3382751652898694,
02_117,-0.5437076656527836,,,,,0.33737506707961934,
02_118,-0.49270081858942727,,,,,0.31639723238511097,
02_119,-0.5144949162459962,,,,,0.3284697764742683,
02_120,-0.5055728668208067,,,,,0.32336421131066245,
02_121,-0.47620806054966125,,,,,0.3164195092655137,
02_122,-0.490672269075059,,,,,0.3126282555784313,
02_123,-0.5243253616516627,,,,,0.3141024254181861,
