Tag,Distance_Center,Nationality_Italy,Nationality_Spain,Nationality_UK,POI_Restaurants_Hotels,Percentage_Age_65_Plus,Intercept
02_089,,,,,0.3186716779344308,,
02_090,,,,,0.31278166122230006,,
02_091,,,,,0.31831056521463436,,
02_092,,,,,0.28847793526654014,,
02_093,,,,,0.27176683530286694,,
02_094,,,,,0.25408763708269383,,
02_095,,,,,0.23476529856103756,,
02_096,,,,,0.25527789926368055,,
02_097,,,,,0.2467345238225554,,
02_098,,,,,0.2899980894927537,,
02_099,,,,,0.2755087698081877,,
02_100,,,,,0.2608135962458606,,
02_101,,,,,0.28859514514456613,,
02_102,,,,,0.31479096849691907,,
02_103,,,,,0.2969526750957533,,
02_104,-0.5319375775390175,,,,0.3141733086349755,,
02_105,,,,,0.3278142605758982,,
02_106,,,,,0.34191647714264634,,
02_107,-0.5519382346603943,,,,0.34369274460793764,,
02_108,-0.6646304206411255,,,,0.3413677296003209,,-0.42127714535347327
02_109,-0.7780160755924027,,,,0.32401038641908597,,-0.4800196274481637
02_110,-0.6224741214100822,,,,0.29719936238337186,,
02_111,-0.7716847706521738,,,,0.2791098662641272,,-0.40045676607825564
02_112,-0.7136689528799837,,,,0.2452317388508992,,-0.3027618912396817
02_113,-0.6213204323464389,,,,0.25815344775851257,,
02_114,-0.5179861026335084,,,,0.2496078002447193,,
02_115,,,,,0.24539925286767109,,
02_116,-0.4810401617665472,,,,0.2592832857872373,,
02_117,,,,,0.27197944161030235,,
02_118,,,,,0.2470957071272931,,
02_119,,,,,0.24366081896370698,,
02_120,,,,,0.23064587876503792,,
02_121,,,,,0.22164958713690142,,
02_122,,,,,0.22052352958448335,,
02_123,-0.44932927664319333,,,,0.23103936576060236,,
02_124,-0.5166512676715665,,,,0.21876174458402536,,
02_125,-0.6031773233716025,,,,0.21576108613924927,,
02_126,-0.489517102091985,,,,0.19273265787281854,,
02_127,,,,,,,
02_128,,,,,0.20825451503737435,,
02_129,,,,,,,
02_130,,,,,,,
02_131,,,,,,,
02_132,,,,,,,
02_133,,,,,,,
02_134,,,,,,,
02_135,,,,,,,
02_136,,,,,,,
02_137,,,,,,,
02_138,,,,,0.2166166103111866,,
02_139,,,,,0.23546266995295873,,
02_140,,,,,0.21909409972894664,,
02_141,,,,,0.19982618002945876,,
02_142,,,,,0.21046679503489793,,
02_143,,,,,0.22602591190946278,,
02_144,,,,,0.22098834136967438,,
02_145,,,,,0.21014793824468517,,
02_146,,,,,0.20068663763042416,,
02_147,,,,,,,
02_148,,,,,,,
02_149,,,,,,,
02_150,,,,,,,0.3344508379740138
02_151,,,,,0.19722913335506176,,
02_152,,,,,0.20174877495018076,,
02_153,,,,,0.2016027117646369,,
02_154,,,,,0.1976466414699898,,
02_155,,,,,0.20384495607109684,,
02_156,,,,,0.21067383881550517,,
02_157,,,,,0.20792346412375085,,
02_158,,,,,0.2091875754155796,,
02_159,,,,,0.2084948573213832,,
02_160,,,,,0.2193583959260437,,
02_161,,,,,0.21643747651813058,,
