Tag,Distance_Center,Education_University,Nationality_UK,Nationality_Spain,POI_Restaurants_Hotels,Nationality_Italy,Intercept
02_144,,,,,0.24833343729722104,,
02_145,-0.43975041191235476,,,,0.26512800467137915,,
02_146,-0.4260374793405991,,,,0.2737378964693719,,
02_147,-0.5206217540536714,,,,0.2681288197035714,,
02_148,-0.4739163580766773,,,,0.25956094197965746,,
02_149,,,,,0.2705598848936358,,
02_150,,,,,0.2702784565057236,,
02_151,,,,,0.2657173850771416,,
02_152,,,,,0.2638611680204701,,
02_153,,,,,0.2508510954136068,,
02_154,,,,,0.24990100998245893,,
02_155,,,,,0.24022356906216846,,
02_156,,,,,0.231058277147279,,
02_157,,,,,0.2379750134678502,,
02_158,,,,,0.2397424288977979,,
02_159,,,,,0.25139216775926687,,
02_160,,,,,0.23737143979068184,,
02_161,,,,,0.23309082739390202,,
02_162,,,,,0.23393311428934827,,
02_163,,,,,0.23890565845142317,,
02_164,,,,,0.2565078938661274,,
02_165,,,,,0.23705502175560839,,
02_166,,,,,0.2328488288455709,,
02_167,,,,,0.2305401911470874,,
02_168,,,,,0.22952629746960979,,
02_169,,,,,0.22717777568792621,,
02_170,,,,,0.2304510405879041,,
02_171,,,,,0.22625832365779158,,
02_172,,,,,0.2269943478951566,,
02_173,,,,,0.22961341943525004,,
03_001,,,,,0.23530150617694717,,
03_002,,,,,0.23833398791221813,,0.39939077678847545
03_003,,,,,0.23918632093495026,,
03_004,,,,,0.2455763628317485,,0.3901920522072217
03_005,,,,,0.23996447554387884,,0.411223847084748
03_006,,,,,0.23231895898302382,,0.4253588985640739
03_007,,,,,0.2318691070166135,,
03_008,,,,,0.23157729887219958,,
03_009,,,,,0.23089859894148276,,
03_010,,,,,0.22762025894083848,,
03_011,,,,,0.22773895960124022,,
03_012,,,,,0.22625156578369526,,
03_013,,,,,0.22542341205588118,,
03_014,,,,,0.2274352110152355,,
03_015,,,,,0.2286091557664425,,
03_016,,,,,0.2371265221368656,,
03_017,,,,,0.22903227108446614,,
03_018,,,,,0.23404122158459445,,
03_019,,,,,0.24344853790099186,,
03_020,,,,,0.2709910352683061,,
03_021,,,,,0.24878839077526216,,
03_022,,,,,0.23403664880903718,,
03_023,,,,,0.22531903409944257,,
03_024,,,,,0.2119720992673702,,0.39190686546089337
03_025,,,0.3426101739023726,,,,0.42736330416300544
03_026,,,0.28857223934284737,,,,0.3510248061857149
03_027,,,0.28327756700164425,,,,0.3415367740803437
03_028,,,0.2813880876533556,,,,0.3356032810716708
03_029,,,0.28645063846443597,,,,0.3624835598737086
03_030,,,0.2938326078586854,,,,0.3838133547958422
03_031,,,0.29584241381968496,,,,0.4094793506356966
03_032,,,0.2982858862651657,,,,0.427427836612765
03_033,,,0.2890154615035205,,,,0.39132895143313423
03_034,,,0.2920256471513998,,,,0.3935315609779774
03_035,,,0.28547574976157275,,,,0.36401122988109824
03_036,,,0.2778169248824508,,,,0.325668770707285
03_037,,,0.2856518077426176,,,,0.3672636870097092
03_038,,,,,,,0.4080729875063713
03_039,,,0.27981090291836774,,,,0.36056727639078673
03_040,,,0.27434389226075645,,,,0.32254825904238277
03_041,,,,,,,0.3010714712102362
03_042,,,,,,,0.3048754308169582
03_043,,,,,,,0.27944782443367705
03_044,,,,,,,0.256196685937408
03_045,,,,,,,0.317237570692381
03_046,,,,,,,
03_047,,,,,0.24956842153822922,,
03_048,,-0.40405067926192095,0.28302820814745433,,0.2533043412375117,,
03_049,,,0.28271730146810725,,0.24545474337284778,,
03_050,,,0.28145549189491964,,0.23286585775335672,,
03_051,,,0.27575308996908965,,,,
03_052,,,,,,,
03_053,,,,,,,
03_054,,,,,,,
03_055,,,,,,,0.22384549663961265
03_056,,,,,,,0.24822274001493266
03_057,,,0.27639620308839474,,,,0.20595900737094533
03_058,,,0.2770112364176694,,,,0.2594326591347009
03_059,,,0.2798692593094591,,,,0.26981114295205005
03_060,,,0.28168605082888243,,,,0.2501464937365733
03_061,,,0.2789724116017765,,,,0.2785925746667754
03_062,,,0.27921942881197914,,,,0.2618573046334041
03_063,,,0.2784689033626658,,,,0.281971005574375
03_064,,,0.2769972920568071,,,,0.2949931449417138
03_065,,,0.2772256377790964,,,,0.2853750771298831
03_066,,,0.2752916969413218,,,,0.26416477036784436
03_067,,,0.27562662065134086,,,,0.27042281501262005
03_068,,,0.27679024377250727,,,,0.25082381855694935
