Tag,Distance_Center,Nationality_Spain,Nationality_Italy,Education_University,Nationality_UK,POI_Restaurants_Hotels,Intercept
02_019,,,,,,0.3607378335075038,0.4661934386384271
02_020,,,,,,0.35505132146998136,0.42651895790823247
02_021,,,,,,0.35161628540331397,0.31044864592066984
02_022,-0.3966852585489936,,,,,0.3509392777525696,
02_023,,,,,,0.3492614213007135,0.240147710496138
02_024,,,,,,0.35371468995757993,0.37488876549400746
02_025,,,,,,0.3500376133222619,0.2886436294923642
02_026,,,,,,0.3510856208999564,0.3234379314193158
02_027,,,,,,0.34532356443701917,0.2650939219305121
02_028,,,,,,0.348321287898871,0.2447752056843798
02_029,,,,,,0.3484058851906749,0.2365823462940045
02_030,-0.4626638759597225,,,,,0.3457778150822985,
02_031,-0.5138081719565507,,,,,0.34524510145475135,
02_032,-0.5489529438693254,,,,,0.3440658864727678,
02_033,-0.5764532241550989,,,,,0.3391733582507306,
02_034,-0.5264087545179719,,,,,0.3400147137607643,
02_035,,,,,,0.3412871372512736,0.25579811388848217
02_036,-0.5563392499887051,,,,,0.3340540353390358,
02_037,-0.6119655534996714,,,,,0.32989581828124115,
02_038,-0.6654825708359141,,,,,0.32942639374645943,
02_039,-0.6005764025967203,,,,,0.31549587950893376,
02_040,-0.6160437973349243,,,,,0.2918959281973981,
02_041,-0.5699425455984108,,,,,0.29421361075255015,
02_042,-0.5418828685920143,,,,,0.2952124325064754,
02_043,-0.5184653906987442,,,,,0.28146613277444893,
02_044,-0.5117864670075604,,,,,0.30177015437932503,
02_045,-0.5321244487200446,,,,,0.3136617341388754,
02_046,-0.5560511071305367,,,,,0.3152618298727551,
02_047,,,,,,0.32809061919899696,
02_048,,,,,,0.320264552216826,
02_049,,,,,,0.33919629951075275,0.31407661266922754
02_050,,,,,,0.35247469845156376,0.35933434726169244
02_051,,,,,,0.3564639302676206,0.3951303591853091
02_052,,,,,,0.35472948964504386,0.406020476045399
02_053,,,,,,0.35035206962619164,0.41388886586401824
02_054,,,,,,0.32099374874671655,0.3379467117211274
02_055,,,,,,0.2887167265523862,0.3302170760785255
02_056,,,,,,0.3340435348758554,0.4052194338533236
02_057,,,,,,0.2794313617860359,
02_058,-0.44125750032308547,,,,,,
02_059,-0.41292564149851574,,,,,,
02_060,,,,,,,
02_061,,,,,,0.3649665150655359,0.4808045406823292
02_062,,,,,,0.32510862726735673,0.4313040833015207
02_063,,,,,,,
02_064,,,,,,0.30541765246928465,
02_065,,,,,,0.3482680850984161,0.4946487527068993
02_066,,,,,,0.3735027798359368,0.514413134526112
02_067,,,,,,0.37965697133906645,0.5422025752349441
02_068,,,,,,0.37932400619976653,0.5447240902359916
02_069,,,,,,0.3802412358383621,0.5612078502355635
02_070,,,,,,0.35850354485754504,0.5197206587150293
02_071,,,,,,0.3665390272379568,0.5393183272908584
02_072,,,,,,0.3697801980094666,0.5504893511856279
02_073,,,,,,0.383150502676305,0.5878726672501287
02_074,,,,,,0.3778286706477572,0.5721403176653618
02_075,,,,,,0.3717627291552158,
02_076,,,,,,0.3685248310841316,0.5457824259259663
02_077,,,,,,0.3340692050048642,
02_078,,,,,,0.32509856788020336,
02_079,,,,,,0.288870872241295,
02_080,,,,,,,
02_081,,,,,,,
02_082,,,,,,,
02_083,,,,,,,
02_084,,,,,,0.2940529739696255,
02_085,,,,,,0.3010231069082264,
02_086,,,,,,0.3323492546534142,
02_087,,,,,,0.31888387074133995,
02_088,,,,,,0.2937618555637936,
02_089,,,,,,0.2917137015337814,
02_090,,,,,,0.284456472063665,
02_091,,,,,,0.2747028312275505,
02_092,,,,,,0.27017286686116104,
02_093,,,,,,0.27336546536804085,
02_094,,,,,,0.25434501482720107,
02_095,-0.41585617660079754,,,,,0.2590123211406053,
02_096,,,,,,0.2731189822251563,
02_097,-0.44433517225624086,,,,,0.2818950954377701,
02_098,,,,,,0.29565601515017964,
02_099,-0.4262036787239781,,,,,0.2966300678539539,
02_100,-0.4637579163595569,,,,,0.2999557816748847,
02_101,,,,,,0.3136152914016929,
02_102,,,,,,0.3234336385915214,
02_103,-0.4850750050030059,,,,,0.33451039258592635,
02_104,-0.5592450301293359,,,,,0.35970169393915286,
02_105,-0.4441431952889067,,,,,0.3452874438365493,
02_106,-0.44483152743307874,,,,,0.35625376350638077,
02_107,-0.5404535584111634,,,,,0.3687935942604669,
02_108,-0.6406899213647611,,,,,0.383164766769157,
02_109,-0.7519052892918348,,,,,0.3836369684191305,
02_110,-0.6926781965733569,,,,,0.36983091652459626,
02_111,-0.8128974238253189,,,,,0.3650149963851837,
02_112,-0.7889681219942091,,,-0.324353090430106,,0.344353154190313,
02_113,-0.7509666794916808,,,,,0.352489057480434,
02_114,-0.6919654459134963,,,,,0.3431841158363221,
02_115,-0.6387896792211828,,,,,0.33644962854659344,
02_116,-0.6162127442416634,,,,,0.3417243482177926,
02_117,-0.5736649616101658,,,,,0.33825805992106633,
02_118,-0.5224340093563172,,,,,0.31158494144168897,
02_119,-0.5833292001654579,,,,,0.3260939725306761,
02_120,-0.6072207452249494,,,,,0.3223853829236758,
02_121,-0.5716615157124393,,,,,0.31000157166551856,
02_122,-0.6189814549838443,,,-0.33516152493511603,,0.31397782619423353,
02_123,-0.6553305288988868,,,,,0.3263988415663583,
02_124,-0.7080990134292825,,,-0.3330683697326004,,0.32069298717379013,
02_125,-0.7392773869425778,,,-0.3318022730138546,,0.3215524892902148,
02_126,-0.6697168811843198,,,-0.3343268073725545,0.2432647756756,0.2935391624567499,
02_127,-0.6359681530536693,,,-0.33729679103399457,0.24914126497118316,0.28449903871734894,
02_128,-0.6189005269204263,,,-0.3446421718812148,0.2311066714171851,0.30112607653179885,
02_129,-0.606466190439421,,,-0.3451967017380611,0.2512192020461687,0.2766850067337425,
02_130,-0.5412089495063194,,,-0.34255358175766215,0.2664079086623306,0.24224210638110893,
02_131,-0.5159866045724092,,,-0.356763239563986,0.25693654228042745,0.23978271382331467,
02_132,-0.5364712653670991,,,-0.3599361019374389,0.24554129590197823,0.25517973483834727,
02_133,-0.5694661671377593,,,-0.35492957640755535,0.2540895679440521,0.2601969267239434,
02_134,-0.5881344333033196,,,-0.35944207827329816,0.24251152241064627,0.2771131757621598,
02_135,-0.5575356293667812,,,-0.3548661576550926,,0.2754810998245636,
02_136,-0.584043754966427,,,-0.35075914988690365,0.22981247066586077,0.28777248546258266,
02_137,-0.5577699850925789,,,-0.3255814902726167,,0.292569388985865,
02_138,-0.5173050526428707,,,,,0.29857166760682086,
02_139,-0.46597076688928213,,,,,0.28606153738289797,
02_140,-0.47589412563115857,,,,,0.28657111949390757,
02_141,-0.4911757579668905,,,,,0.28451030011523537,
