Tag,Distance_Center,Nationality_Italy,Nationality_Spain,Education_University,Nationality_UK,POI_Restaurants_Hotels,POI_Daily_Others,Intercept
02_083,,,,,,,,
02_084,,,,,,0.2625711174953163,,
02_085,,,,,,0.26880672683744167,,
02_086,,,,,,0.2844096536213509,,
02_087,,,,,,0.2736745715577553,,
02_088,,,,,,0.2525288723549495,,
02_089,,,,,,,,
02_090,,,,,,,,
02_091,,,,,,,,
02_092,,,,,,,,
02_093,,,,,,,,
02_094,,,,,,,,
02_095,,,,,,0.22426251672745381,,
02_096,,,,,,,,
02_097,-0.41483896987011687,,,,,0.23473559893232737,,
02_098,,,,,,,,
02_099,,,,,,0.24249686146135993,,
02_100,-0.437012993243747,,,,,0.24614507643163455,,
02_101,,,,,,0.2580678554323911,,
02_102,,,,,,0.272120884430754,,
02_103,-0.4871364907514439,,,,,0.27876321540745164,,
02_104,-0.5600932133730726,,,,,0.3002620173092384,,
02_105,-0.4660966303023067,,,,,0.2901920492794279,,
02_106,-0.4589051333421266,,,,,0.2979575338471172,,
02_107,-0.5362176700705421,,,,,0.30591425277596446,,
02_108,-0.6201237659270642,,,,,0.3184524570149434,,
02_109,-0.700270659410673,,,,,0.32335096255626417,,
02_110,-0.6715107825133966,,,,,0.31279968581610446,,
02_111,-0.7584993109585249,,,,,0.3176002513804963,,
02_112,-0.7429041657936374,,,-0.3132072336927553,,0.30529721264935533,,
02_113,-0.7187188190918743,,,,,0.30568633943169404,,
02_114,-0.6615322065561358,,,,,0.2950737157938254,,
02_115,-0.602724045817414,,,,,0.2866138085121447,,
02_116,-0.582120762890845,,,,,0.28787360193655753,,
02_117,-0.550280719348291,,,,,0.2837085352861641,,
02_118,-0.48422015588504147,,,,,0.2575329885330269,,
02_119,-0.54291485613284,,,,,0.2742547188740898,,
02_120,-0.5644799688930304,,,,,0.27392278421896576,,
02_121,-0.5228712731820254,,,,,0.2620680680835781,,
02_122,-0.5769871962863218,,,,0.23707015693458194,0.2702617825098555,,
02_123,-0.6187433398082685,,,,0.22992348186183217,0.28146649498091036,,
02_124,-0.6762139270689116,,,,,0.28352716922030463,,
02_125,-0.7070977397654441,,,-0.32654206226606497,,0.28793798108098956,,
02_126,-0.6401895036942109,,,-0.3305519271332346,0.24523804664661913,0.270715948456578,,
