Tag,Distance_Center,Nationality_Spain,Education_University,Nationality_Italy,Nationality_UK,POI_Restaurants_Hotels,Percentage_Age_65_Plus,Percentage_Age_0_14,POI_Clothing,POI_Daily_Others,Intercept
02_146,-0.3219236928376621,,,,,0.24343001372877549,,,,,
02_147,-0.35410599892513067,,,,,0.2436451905494101,,,,,
02_148,-0.3716437233664949,,,,,0.22373165560491956,,,,,
02_149,-0.31240997204363546,,,,,0.23364008986920273,,,,,
02_150,,,,,,0.23792853509024361,,,,,
02_151,,,,,,0.24284606168954578,,,,,
02_152,-0.31228608080131703,,,,,0.2458802036084512,,,,,
02_153,-0.30678625247320096,,,,,0.24834463191551354,,,,,
02_154,,,,,,0.24759382362369306,,,,,
02_155,,,,,,0.2512563008830645,,,,,
02_156,,,,,,0.25388673748372287,,,,,
02_157,,,,,,0.2517500996347452,,,,,
02_158,,,,,,0.25094129308384183,,,,,
02_159,-0.31977295781429843,,,,,0.25034295572191323,,,,,
02_160,-0.3409790841714045,,,,,0.2536968579684125,,,,,
02_161,,,,,,0.2533717026635013,,,,,
02_162,,,,,,0.2561809057714534,,,,,
02_163,,,,,,0.2583701082766438,,,,,
02_164,,,,,,0.2700020320660033,,,,,
02_165,,,,,,0.26100474008966507,,,,,
02_166,,,,,,0.2619020409385958,,,,,
02_167,,,,,,0.2542479778944287,,,,,
02_168,,,,,,0.2594187665812526,,,,,
02_169,,,,,,0.2668920218859095,,,,,
02_170,,,,,,0.2717201269510266,,,,,
02_171,,,,,,0.2646207601450886,,,,,
02_172,,,,,,0.26316419024244436,,,,,
02_173,,,,,,0.2576943744457861,,,,,
03_001,,,,,,0.2541065430420069,,,,,
03_002,,,,,,0.2519247155005574,,,,,
03_003,,,,,,0.25056363608988713,,,,,
03_004,,,,0.2937309341023337,,0.24768535163204658,,,,,
03_005,,,,0.312428479842739,,0.25051568166797544,,,,,
03_006,,,,,,0.255297993086758,,,,,
03_007,,,,,,0.2559392645334983,,,,,
03_008,,,,,,0.25800194333180965,,,,,
03_009,,,,,,0.2582512132385452,,,,,
03_010,,,,,,0.2626974281567601,,,,,
03_011,,,,,,0.2621070776003218,,,,,
03_012,,,,,,0.2665439860305236,,,,,
03_013,,,,,,0.2671434498112974,,,,,
03_014,,,,,,0.26943314230897636,,,,,
03_015,,,,,,0.27131717557219903,,,,,
03_016,,,,,,0.2765099309046217,,,,,
03_017,,,,,,0.2724729203994309,,,,,
03_018,,,,,,0.2768590154116204,,,,,0.46421072734082064
03_019,,,,,,0.28126889590062615,,,,,
03_020,,,,,,0.28486452624406494,,,,,0.5664949466576291
03_021,,,,,,0.2823941000163155,,,,,0.5381364838274676
03_022,,,,,,0.2790050495963688,,,,,0.4989906166446931
03_023,,,,,,0.2693071951196372,,,,,0.37618378075731645
03_024,,,,0.31586289774378573,,0.25891808297080043,,,,,0.25053209122892056
03_025,,,,0.33992988041281247,,0.2890256503315595,,,,,0.3969307043534511
03_026,,,,0.2756230515969864,,0.2087884249961718,,,,,0.2869578295882773
03_027,,,,,,0.19598431571663888,,,,,0.271578782767939
03_028,,,,,,0.18611448963299615,,,,,0.26320890515678613
03_029,,,,0.2743939449702222,,0.20381459251099798,,,,,0.29061995074702734
03_030,,,,0.29010134053343206,0.20269847853260303,0.21738735270750284,,,,,0.31273643252734096
03_031,,,,0.305945200029608,0.20512325211412136,0.2263155319543022,,,,,0.33445632121522095
03_032,,,,0.3193563625936711,,0.23962004852864205,,,,,0.3564206985794144
03_033,,,,0.2946813255663762,,0.21051573188644135,,,,,0.315120656548372
03_034,,,,0.295188636012256,,0.21530900889806376,,,,,0.319500942475929
03_035,,,,0.27398513585749146,,0.19650173074374944,,,,,0.28881570131009066
03_036,,,,,,,,,,,0.24823547617265626
03_037,,,,0.27899641756917654,,0.19716459075521778,,,,,0.2934570830112252
03_038,,,,0.31844879672465287,,0.21692953534571424,,,,,0.33438211167710247
03_039,,,,0.2758434033821622,,0.1908792549347051,,,,,0.2798065798411472
03_040,,,,0.2627302480337946,,0.18299424854326288,,,,,0.2482810816694696
03_041,,,,0.27129822030065853,,0.18424429253414032,,,,,0.2386437198175095
03_042,,,,0.31933260502063865,,0.20271807136974979,,,,,0.23735724780491013
03_043,,,,0.2886339233756991,,0.18814505055213454,,,,,0.23023851122658323
03_044,,,,0.3061593906119319,,0.19637034522818464,,,,,0.20022805765945356
03_045,,,,0.35614492791722535,,0.22475779582402822,,,,,0.2057659244509062
03_046,,,,0.3246742524773307,,0.21074016282101476,,,,,
03_047,,,,,,0.2019187318601398,,,,,
03_048,-0.4174824080442852,,,,,,,,,,
03_049,,,,,,,,,,,
03_050,,,,,,,,,,,
03_051,,,,,,,,,,,0.16480967249198095
03_052,,,,,,,,,,,0.1597417581469755
03_053,,,,0.28100025938943857,,0.19762637432701977,,,,,
03_054,,,,0.29266723084325086,,0.1932452612101032,,,,,0.17227771380240878
03_055,,,,0.27159403166540697,,,,,,,0.19378999574994227
03_056,,,,0.26954706195357453,,0.1811271293294605,,,,,0.21118643121579783
03_057,,,,,,,,,,,0.18524186022152003
03_058,,,,,,,,,,,0.2135782897500467
03_059,,,,,,,,,,,0.21337600761896702
03_060,,,,,,,,,,,0.19688380933353325
03_061,,,,,,,,,,,0.2124499922941031
03_062,,,,,,,,,,,0.19732790100998912
03_063,,,,,,,,,,,0.2147483838707416
03_064,,,,,,,,,,,0.2275331063427965
03_065,,,,,,,,,,,0.21695823225467215
03_066,,,,,,,,,,,0.19767468584066106
03_067,,,,,,,,,,,0.19931285382854133
03_068,,,,,,,,,,,0.18520282646449232
03_069,,,,,,,,,,,0.17346905391275572
03_070,,,,,,,,,,,0.15121366624521176
