Tag,Distance_Center,Nationality_Italy,Nationality_Spain,Nationality_UK,POI_Restaurants_Hotels,POI_Education,Intercept
02_081,,,,,0.2390815728961874,,
02_082,,,,,0.21072669218422124,,
02_083,,,,,0.22602875943503223,,
02_084,,,,,0.26832604307901614,,
02_085,,,,,0.28430780394354394,,
02_086,,,-0.36218361092410883,,0.2920923413310294,,
02_087,,,,,0.27398236522191866,,
02_088,,,,,0.26266765985770035,,
02_089,,,,,0.255570989075494,,
02_090,,,,,0.2441965840706175,,
02_091,,,,,0.24200840685582306,,
02_092,,,,,0.22551816546551665,,
02_093,,,,,0.21894535958019617,,
02_094,,,,,0.2076128523767004,,
02_095,,,,,0.19835013456833453,,
02_096,,,,,0.21118444131799072,,
02_097,,,-0.23641302703037678,,0.20928433971619737,,
02_098,,,,,0.23764213291427547,,
02_099,,,-0.2705474047539492,,0.2294171882124695,,
02_100,,,-0.29039847275099717,,0.2214950495445481,,
02_101,,,-0.3204362301875059,,0.24310552442043815,,
02_102,,,-0.3559601781468678,,0.2679547593028603,,
02_103,,,-0.36432379253175906,,0.2588719837934935,,
02_104,,,-0.3502780907276271,,0.27611000381380957,,
02_105,,,-0.3690760672308308,,0.28457842942821143,,
02_106,,,-0.3524000823050198,,0.3010467061010401,,
02_107,,,,,0.2991725654809482,,
02_108,-0.4308692538679607,,,,0.2937768661034437,,
02_109,-0.5417839415637186,,,,0.2792398430031513,,-0.32716467765764556
02_110,-0.5066225813609528,,-0.3258834727962733,,0.26355755007073906,,
02_111,-0.6023855561127806,,-0.28086622194595834,,0.2430497536721,,-0.32191129104940086
02_112,-0.5532213256400094,,-0.31378806265846354,,0.21809608689600943,,
02_113,-0.533621297854866,,-0.34920879266148147,,0.22876339895075293,,
02_114,-0.48008071583121603,,-0.3774267737051532,,0.2202208699939707,,
02_115,-0.44167468422381934,,-0.390560624423362,,0.21808958761140013,,
02_116,-0.44064741620400005,,-0.37827209946357027,,0.2321767050993791,,
02_117,-0.4214040408102889,,-0.36232124124312726,,0.2409127382857934,,
02_118,,,-0.3341356540275521,,0.2187684158820182,,
02_119,-0.41969060309188083,,-0.3734078189405264,,0.21716426191284313,,
02_120,-0.41385268994944024,,-0.3887058608642083,,0.2045098267294015,,
02_121,-0.4014721057512947,,-0.37461878436967605,,0.19691086746859232,,
02_122,-0.3974921307691901,,-0.40344557897934624,,0.1921157912236282,,
02_123,-0.4272661772409975,,-0.4013005069538449,,0.2045140208461682,,
02_124,-0.4425198962097021,,-0.3861571410662462,,0.19818502449704942,,
02_125,-0.4583116669408332,,-0.35180886158759483,,0.1983709452949257,,
02_126,-0.35383213244956596,,-0.3675750858739101,,0.18163373970992955,,
02_127,,,-0.38268009551277365,,,,
02_128,-0.365554766402338,,-0.40551913203585993,,,,
02_129,,,-0.3774845533120072,,,,
02_130,,,-0.321313898986617,0.22978338497277745,,,
02_131,,,-0.2923730065723179,,,,
02_132,,,-0.32749481054679613,,,,
02_133,,,-0.3554167600104633,,,,
02_134,,,-0.37428231514928784,,,,
02_135,,,-0.36137626710062415,,,,
02_136,,,-0.3953235272241067,,,,
02_137,-0.36263607774989337,,-0.37339781350966944,,,,
02_138,-0.37148173585245503,,-0.3190970374531878,,0.19598532693690446,,
02_139,,,-0.2537387617627673,,0.20341901072766952,,
02_140,,,-0.27010595545073324,,0.193876070759429,,
02_141,,,-0.30785867360953134,,0.17986166012088026,,
02_142,,,-0.25196129736352685,,0.1858787773166273,,
02_143,,,-0.22269904771144897,,0.19514640985901074,,
02_144,,,,,0.19080507964650148,,
02_145,,,-0.21917543385777935,,0.18420974905083295,,
02_146,,,-0.22793599355609034,,0.17904869266799936,,
02_147,,,-0.2984011559101114,,,,
02_148,,,-0.2788605931505978,,,,
02_149,,,,,,,
02_150,,,,,,,
02_151,,,,,0.17935490658522749,,
02_152,,,,,0.18014135117495203,,
02_153,,,,,0.18064770727698976,,
02_154,,,,,0.17974770899102477,,
02_155,,,,,0.18231878882030522,,
02_156,,,,,0.18668648075378555,,
02_157,,,,,0.18469350631327133,,
02_158,,,,,0.184906281548078,,
02_159,,,,,0.18382319792458576,,
02_160,,,,,0.18906952851276745,,
02_161,,,,,0.1880229959897054,,
02_162,,,,,0.19078579057322523,,
02_163,,,,,0.19854409128244516,,
