Tag,Distance_Center,Nationality_Spain,Nationality_Italy,Nationality_UK,Percentage_Age_65_Plus,POI_Restaurants_Hotels,Education_University,Percentage_Age_0_14,Rent_Number_Flats,POI_Clothing,POI_Education,Intercept
01_042,,,,,,0.3388734965920229,,,,,,0.44985742073574975
01_043,,,,,,0.33218630284906725,,,,,,0.426536544227944
01_044,,,,,,0.3476029474317289,,,,,,0.4916588396058325
01_045,,,,,,0.35018083881825185,,,,,,0.5102672000662833
01_046,,,,,,0.3466718972463083,,,,,,0.5072876468030305
01_047,,,,,,0.3496076386798154,,,,,,0.4901265105596478
01_048,,,,,,0.35170580614429897,,,,,,0.5046815019307314
01_049,,,,,,0.3525934052140679,,,,,,0.48276075451251055
01_050,,,,,,0.35416206256888305,,,,,,0.4705985321704909
01_051,,,,,,0.3526672917352158,,,,,,0.4957768725658909
01_052,,,,,,0.35476124536878045,,,,,,0.4883963024506101
01_053,,,,,,0.34906549172844265,,,,,,0.4992789076102629
01_054,,,,,,0.3487866786575915,,,,,,0.498715978965133
01_055,,,,,,0.33675585052103385,,,,,,0.4602364760828424
02_001,,,,,,0.3189639172610578,,,,,,0.3838609179882059
02_002,,,,,,0.3255943116295066,,,,,,0.39342822634852126
02_003,,,,,,0.31456548257569306,0.27184328685109593,,,,,0.3388654849154915
02_004,,,,,,0.31890921388590165,,,,,,0.34450034076003766
02_005,,,,,,0.32781815445132517,,,,,,0.3917922279200923
02_006,,,,,,0.33879919750925996,,,,,,0.4468259896213485
02_007,,,,,,0.3323174764105143,,,,,,0.402142773690932
02_008,,,,,,0.32078309981394326,,,,,,0.34032754265123966
02_009,,,,,,0.3151545610610237,0.27729552829355575,,,,,0.30687263413459653
02_010,,-0.29992943412029055,,,,0.3116618919648336,0.30807081731076885,,,,,0.27335728318337604
02_011,,-0.3148327001750204,,,,0.31285548547205644,0.3173393278441915,,,,,0.291544590020802
02_012,,-0.32348435819366994,,,,0.30199041095214263,0.31465861150763286,,,,,0.3002932665762407
02_013,,-0.3301027088411945,,,,0.30467848398227054,0.3563439348592971,,,,,0.24794901348333187
02_014,,-0.3073934054181507,,,,0.2991836710425019,0.3646856581746296,,,,,0.2126923412777445
02_015,,-0.2888972401891662,,,,0.30478101354925546,0.32481635564362366,,,,,0.2296084182866533
02_016,,,,,,0.3112279897229034,,,,,,0.2739667907025207
02_017,,,,,,0.317891249625843,,,,,,0.31878199255939116
02_018,,,,,,0.3015902985177442,,,,,,0.25165830022656493
02_019,,,,,,0.30917134724310125,,,,,,0.2632918889181882
02_020,,,,,,0.3070118375828641,,,,,,0.24259350109452493
02_021,,-0.27406570465771224,,,,0.2964825339333384,0.3313161135713127,,,,,0.19865044249047675
02_022,,-0.2936396391566296,,,,0.28530445724299636,0.3845126816628151,,,,,0.1805174395430329
02_023,,-0.2723747261913978,,,,0.28576393321719507,0.37280871321248316,,,,,
02_024,,,,,,0.29792362787710713,,,,,,0.20316824014128637
02_025,,,,,,0.28080683800541706,,,,,,
02_026,,,,,,0.28208784462249853,,,,,,
02_027,,,,,,0.26760652748892083,,,,,,
02_028,,,,,,0.2711719493294982,,,,,,
02_029,,,,,,0.27701914621860724,0.3625067018653497,,,,,
02_030,,,,,,0.2709637134440346,0.3995254579178995,,,,,
02_031,,,,,,0.26379799410548077,0.3918862518235569,,,,,
02_032,,,,,,0.26041247219762864,,,,,,
02_033,-0.3895563377953391,,,,,0.2505924537938287,,,,,,
02_034,,,,,,0.25445075750072843,,-0.17187845705623406,,,,
02_035,,,,,,0.2568528205708182,,-0.1923546772822889,,,,
02_036,,,,,,0.24279153082252544,,-0.1946552882069535,,,,
02_037,-0.41336246392545845,,,,,0.2382024323777045,,,,,,
02_038,-0.43210433880843657,,,,,0.2370135485394359,,,,,,
02_039,,,,,,0.22425133383565915,,-0.1883203275713124,,,,
02_040,,,,,,0.20515721401838025,,,,,,
02_041,,,,,,0.20897935225105907,,-0.21220508597845747,,,,
02_042,-0.4326443790605958,,,,,0.21827358404148337,,-0.22910521783536233,,,,
02_043,-0.4737959156594232,,,,,0.21984568672405133,,-0.23330112163362665,,,,
02_044,-0.4576274472291213,,,,,0.23090156706268838,,-0.2326483158757593,,,,
02_045,-0.43103041341271625,,,,,0.23027804731597287,,-0.22674319053335731,,,,
02_046,,,,,,0.22927405223646852,,-0.21716363713138553,,,,
02_047,-0.4139008752250772,,,,,0.2413161235663778,,-0.21650911101236228,,,,
02_048,-0.4386724301239986,,,,,0.24332080853481652,,-0.22743262075509305,,,,
02_049,-0.3977552670872628,,,,,0.2630111887444687,,-0.2035967083507199,,,,
02_050,,,,,,0.2869425967756431,,,,,,
02_051,,,,,,0.2889859149661407,,,,,,
02_052,,,,,,0.28094448503353403,,-0.1793170248658878,,,,
02_053,-0.34544894707780305,,,,,0.2760923498073471,,-0.1900122012429117,,,,
02_054,-0.43161392876762317,,,,,0.25376513875743945,,-0.22387525013621196,,,,
02_055,-0.4397856962345436,,,,,0.24043142279620489,,-0.2227290765902861,,,,
02_056,-0.3537348844783372,,,,,0.2655956282157909,,-0.19275483135313,,,,
02_057,-0.3861555589500861,,,,,0.23720518062687368,,-0.19241335573653548,,,,
02_058,-0.44166800795396977,,,,,0.1983288154797988,,-0.18781332605225162,,,,
02_059,-0.3819399019713827,,,,,,,,,,,
02_060,-0.37192548238696854,,,,,0.2169540757695804,,,,,,
02_061,,,,,,0.2885583553557106,,,,,,
02_062,,,,,,0.26808912316060524,,,,,,
02_063,-0.3194332375191815,,,,,0.23442965387308815,,,,,,
02_064,,,,,,0.27042275890903433,,,,,,
02_065,,,,,,0.2996647198339375,,,,,,
02_066,,,,,,0.3051253183381642,,,,,,0.29273411078032596
02_067,,,,,,0.31602668473249357,,,,,,0.33388455212687584
02_068,,,,,,0.325520550885585,,,,,,0.3695110110251594
02_069,,,,,,0.32313836051555395,,,,,,0.377145365920081
02_070,,,,,,0.32218894165720613,,,,,,0.38406381254664484
02_071,,,,,,0.33495151478134455,,,,,,0.42880711162704765
02_072,,,,,,0.3455936818196713,,,,,,0.46462826632384996
02_073,,,,,,0.34745615162731164,,,,,,0.46604958252689727
02_074,,,,,,0.34616272221600364,,,,,,0.4837351689886541
02_075,,,,,,0.3582725522444267,,,,,,0.49021645707677786
02_076,,,,,,0.35833547436064517,,,,,,0.49392774148737345
02_077,,,,,,0.33549166823762355,,,,,,
02_078,,,,,,0.3229563117314333,,,,,,
02_079,,,,,,0.2980684953903033,,,,,,
02_080,,,,,,0.2614975977640637,,,,,,
02_081,,,,,,0.25255131997827035,,,,,,
02_082,-0.328589967007656,,,,,0.21341263539075733,,,,,,
02_083,,,,,,0.22498377235285738,,,,,,
02_084,,,,,,0.2593616401547396,,,,,,
02_085,,,,,,0.24418045983197653,,,,,,
02_086,,,,,,0.25974154464258653,,,,,,
