Tag,Distance_Center,Education_University,Nationality_Spain,Nationality_Italy,Nationality_UK,POI_Restaurants_Hotels,Percentage_Age_65_Plus,Percentage_Age_0_14,POI_Daily_Others,POI_Clothing,Intercept
02_145,-0.31720304746496003,,,,,0.24302258848984123,,,,,
02_146,-0.3128890351117206,,,,,0.23826395731700514,,,,,
02_147,-0.3420525193234212,,,,,0.24091146036519406,,,,,
02_148,-0.37247548357201177,-0.25436385128899963,,,,0.21937890008756888,,,,,
02_149,-0.3134818714829403,,,,,0.22811039926069485,,,,,
02_150,,,,,,0.23054962186236982,,,,,
02_151,-0.2971743869304623,,,,,0.2347241711422771,,,,,
02_152,-0.3041343982909087,,,,,0.23776474203210182,,,,,
02_153,-0.299751255679158,,,,,0.23759686408660022,,,,,
02_154,,,,,,0.2357012041899576,,,,,
02_155,,,,,,0.23661237183058875,,,,,
02_156,,,,,,0.23577194218246106,,,,,
02_157,,,,,,0.23584532710174452,,,,,
02_158,,,,,,0.23720922575282913,,,,,
02_159,-0.31147533158065854,,,,,0.23987925679857328,,,,,
02_160,-0.33111147211042535,,,,,0.2385857008278692,,,,,
02_161,,,,,,0.2357757034728234,,,,,
02_162,,,,,,0.2360027032601033,,,,,
02_163,-0.35461759097878287,,,,,0.23781946411469695,,,,,
02_164,,,,,,0.24409647636929105,,,,,
02_165,,,,,,0.23783442274431565,,,,,
02_166,,,,,,0.2374863332787474,,,,,
02_167,,,,,,0.23505893389134438,,,,,
02_168,,,,,,0.23676783289965464,,,,,
02_169,,,,,,0.24053590889661425,,,,,
02_170,,,,,,0.24412562987779615,,,,,
02_171,,,,,,0.23967440774708193,,,,,
02_172,,,,,,0.23866512322093705,,,,,
02_173,,,,,,0.23646978080620384,,,,,
03_001,,,,,,0.23612583278457674,,,,,
03_002,,,,,,0.23564897947350047,,,,,
03_003,,,,,,0.2358328796346904,,,,,
03_004,,,,,,0.23478800270907296,,,,,
03_005,,,,0.2859596434667243,,0.2358221896777033,,,,,
03_006,,,,,,0.23664131107959321,,,,,
03_007,,,,,,0.23659384798289707,,,,,
03_008,,,,,,0.23726788889945097,,,,,
03_009,,,,,,0.23724933050036057,,,,,
03_010,,,,,,0.23934693888622782,,,,,
03_011,,,,,,0.23924237680520213,,,,,
03_012,,,,,,0.2414558902311023,,,,,
03_013,,,,,,0.24236562340487952,,,,,
03_014,,,,,,0.24417490038594014,,,,,
03_015,,,,,,0.24521654665216072,,,,,
03_016,,,,,,0.25229472787103613,,,,,
03_017,,,,,,0.24802152463085184,,,,,
03_018,,,,,,0.25431709213088055,,,,,
03_019,,,,,,0.2614688013377374,,,,,
03_020,,,,,,0.2752338325256557,,,,,
03_021,,,,,,0.2659128406168881,,,,,
03_022,,,,,,0.2585438561985061,,,,,
03_023,,,,,,0.2444952525770374,,,,,
03_024,,,,0.29606764119566287,,0.2536578488482302,,,,,0.24375064612923134
03_025,,,,,0.24749568151905266,0.3088262097193272,,,,,0.3685772248737397
03_026,,,,,0.24216828555572872,0.2312935094503136,,,,,0.28206933226434056
03_027,,,,,0.2377815071099232,0.2184689090336529,,,,,0.26929694343614186
03_028,,,,,0.23328117819422353,0.20888053858254677,,,,,0.26206582299435227
03_029,,,,,0.2379402890878899,0.2272663460593292,,,,,0.28283364330105254
03_030,,,,,0.23796236517433772,0.24072300820789022,,,,,0.2986134667327972
03_031,,,,,0.23246122799823365,0.25149007803303985,,,,,0.3161625313747284
03_032,,,,,0.22954121577708728,0.26530370064212244,,,,,0.3342231495381434
03_033,,,,,0.2303626428026961,0.23689945765196835,,,,,0.3013213679868865
03_034,,,,,0.2333502517613085,0.24050309523434057,,,,,0.30305318985680024
03_035,,,,,0.23215026413795015,0.22127184408907302,,,,,0.28076881783753627
03_036,,,,,0.22583804844182376,0.1963597533914618,,,,,0.24720216695697492
03_037,,,,,0.2305704104524806,0.2212730676142712,,,,,0.2790074985232329
03_038,,,,,0.22062198837196956,0.24483610738551925,,,,,0.3129319992365861
03_039,,,,,0.22653122541310025,0.21430348523766557,,,,,0.2701854007634058
03_040,,,,,0.22051353756545883,0.2003613675752059,,,,,0.2449080016026959
03_041,,,,,0.21421589008887074,0.1982602081393742,,,,,0.2349109282323139
03_042,,,,,0.19956503146424898,0.21244334569636247,,,,,0.23172756674744538
03_043,,,,,0.20645564787332116,0.1996786995131646,,,,,0.22764262378806252
03_044,,,,,0.19085674426811094,0.20132490065144631,,,,,0.20227370099054495
03_045,,,,0.29649223041279904,,0.2233517399204886,,,,,0.20574541259733842
03_046,,,,,,0.210631199661291,,,,,0.1846169513589288
03_047,-0.3348341352661167,,,,,0.19874821982162086,,,,,
03_048,-0.41829059861828083,,,,,,,,,,
03_049,-0.3549803290382242,,,,,,,,,,
03_050,,,,,,,,,,,0.15127628753684433
03_051,,,,,0.19133389179405352,,,,,,0.1747548543146367
03_052,,,,,0.18582789115943912,,,,,,0.16969740101634992
03_053,,,,,,0.19662978599695397,,,,,
03_054,,,,,,0.19493954857566764,,,,,0.17876067458132658
03_055,,,,,0.19721026709757453,0.18764546765067358,,,,,0.19773423650826413
03_056,,,,,0.20466671326191577,0.18942514352336556,,,,,0.21042389483750137
03_057,,,,,0.20112247301931935,0.17396994037878483,,,,,0.19242765949040985
03_058,,,,,0.21169940337953025,0.18290287918167678,,,,,0.21507574066331592
03_059,,,,,0.21352371375762685,0.18105042658344872,,,,,0.21644921287303928
03_060,,,,,0.20696272390187367,0.17237448462059088,,,,,0.20300807440937482
03_061,,,,,0.21383495274021908,0.17942502560864984,,,,,0.21607010979623245
03_062,,,,,0.20708268190361556,0.17199943953943173,,,,,0.20592552769113498
03_063,,,,,0.21558789937900077,0.17953355368632368,,,,,0.22042901719894506
03_064,,,,,0.22222493745412797,0.18657519083349966,,,,,0.23144576548461523
03_065,,,,,0.21780580456992382,0.18202488316575152,,,,,0.22321319073459864
03_066,,,,,0.20872792434737986,0.17701182581557812,,,,,0.20850766946139562
03_067,,,,,0.20919283810980693,0.17629720838892388,,,,,0.20886575731174783
03_068,,,,,0.2001396830115465,0.17097379035872584,,,,,0.19680904144582262
03_069,,,,,0.19097587159409962,0.1714783646128806,,,,,0.1845408947605259
