Tag,Distance_Center,Nationality_Italy,Nationality_Spain,Education_University,Nationality_UK,POI_Restaurants_Hotels,Rent_Number_Flats,Intercept
02_052,,,,,,0.35115366247671204,,
02_053,,,,,,0.34647966598379976,,
02_054,,,,,,0.32272401314674565,,
02_055,-0.49521446873661695,,,,,0.29317499042316986,,
02_056,,,,,,0.33257382080094805,,
02_057,-0.46696569849656894,,,,,0.28713053469331784,,
02_058,-0.5184203725594598,,,,,0.23625663168355268,,
02_059,-0.47310316187746326,,,,,,,
02_060,-0.46602266062786263,,,,,0.25726502390925293,,
02_061,,,,,,0.3617704513454749,,
02_062,,,,,,0.3275756913188638,,
02_063,,,,,,0.26833391601221623,,
02_064,,,,,,0.3116051709862849,,
02_065,,,,,,0.3488019106817041,,
02_066,,,,,,0.3730637916445443,,0.39273412972848626
02_067,,,,,,0.381989883104972,,0.4380740658892877
02_068,,,,,,0.38621462660294237,,0.4586519525081281
02_069,,,,,,0.38551915873640036,,0.4437292233391526
02_070,,,,,,0.36126569903959704,,
02_071,,,,,,0.3761867696944654,,
02_072,,,,,,0.3876282711054552,,
02_073,,,,,,0.4008435214972731,,0.5191922965004523
02_074,,,,,,0.39553752955385607,,0.5260960997336203
02_075,,,,,,0.39857549721343755,,
02_076,,,,,,0.3947574847223752,,
02_077,,,,,,0.3704827931501867,,
02_078,,,,,,0.34565587706832374,,
02_079,,,,,,0.32396742400174383,,
02_080,,,,,,,,
02_081,,,,,,,,
02_082,,,,,,,,
02_083,,,,,,,,
02_084,,,,,,0.30326987195216304,,
02_085,,,,,,0.2949994307779101,,
02_086,,,,,,0.30690780197215844,,
02_087,,,,,,0.31781622377566243,,
02_088,,,,,,0.30764548627872224,,
02_089,,,,,,0.312949992966305,,
02_090,,,,,,0.31018002989479354,,
02_091,,,,,,0.31199971563770346,,
02_092,,,,,,0.29700640645877363,,
02_093,,,,,,0.2877643971946004,,
02_094,,,,,,0.27046448242664434,,
02_095,,,,,,0.25931319374261746,,
02_096,,,,,,0.27613461057161687,,
02_097,-0.4273406444286487,,,,,0.2701362169265266,,
02_098,,,,,,0.30079850725749585,,
02_099,-0.42614293786241497,,,,,0.288952705633565,,
02_100,-0.4485717518584912,,,,,0.2787436573638211,,
02_101,,,,,,0.29917862048648414,,
02_102,,,,,,0.31205975226556715,,
02_103,-0.4856127264277267,,,,,0.30736512664435045,,
02_104,-0.5526721708333598,,,,,0.3151082853963314,,
02_105,-0.46483842643556467,,,,,0.3166277517160871,,
02_106,-0.46824912214208386,,,,,0.3118753960059393,,
02_107,-0.544560097892778,,,,,0.30946810808596165,,
02_108,-0.6177081048128821,,,,,0.3124903125456635,,
02_109,-0.6895189027149562,,,,,0.29619858268318877,,
02_110,-0.6561420674715887,,,,,0.3036444511156326,,
02_111,-0.7470451159905195,,,-0.3439593283338646,,0.27023534143871986,,
02_112,-0.7462092502950014,,,-0.3792543003858655,,0.2517522026393512,0.16482417942307964,
02_113,-0.7117740586247598,,,-0.38221523292003123,,0.26911540746649426,,
02_114,-0.6558014072247471,,,-0.38060524648294225,,0.26655087960505247,,
02_115,-0.5944042511749257,,,-0.3572935829120782,,0.26891158336896814,,
02_116,-0.5717968976271912,,,,,0.28517127405344556,,
02_117,-0.5433782744878072,,,,,0.29447864152310277,,
02_118,-0.4898170079204422,,,,,0.273477046053161,,
02_119,-0.5356504842555326,,,,,0.2729318050609373,,
02_120,-0.5562419389441398,,,-0.3460014746109638,,0.2571133365902117,,
02_121,-0.5161776150757258,,,,,0.2505232040215634,,
02_122,-0.573316789818604,,,-0.3789725793793604,0.23570084102552707,0.23905904977676853,,
02_123,-0.6184840358739939,,,-0.3867599311013594,0.23040639389551837,0.24954739194917422,,
02_124,-0.6932175896859809,,,-0.4117992881317404,0.23321196807655764,0.2375798904400424,,
02_125,-0.7311469440997779,,,-0.4125705349067541,,0.23481584079773155,0.17181283411044163,
02_126,-0.6870035635356267,,,-0.42409355037443924,0.24755123856964378,0.21962554424610384,,
02_127,-0.6393052092382892,,,-0.41691443689046154,0.2546085942206547,0.21165763950218,,
02_128,-0.5810198955441317,,,-0.3972774072610436,0.24493212755215332,0.22092099082891495,,
02_129,-0.5971972110361852,,,-0.41135198061249295,0.25758057762134773,0.20484526935120412,,
02_130,-0.5538332323495466,,,-0.39328996185916903,0.26954624812057626,0.1993723512283342,,
02_131,-0.4918014449522477,,,-0.37916721378898216,0.25958095909970114,,,
02_132,-0.49898461532243826,,,-0.38318158753919923,0.2504603509111314,,,
02_133,-0.5534566133163706,,,-0.40248989308167943,0.2596920947835019,,,
02_134,-0.5490713241448626,,,-0.4009266310145457,0.25119990770096323,,,
02_135,-0.5026946478351716,,,-0.37450527003623585,0.24038807631111692,,,
02_136,-0.5365286363291316,,,-0.3840759841016484,0.24308906953310674,,,
02_137,-0.4976055152268155,,,-0.3400841988549508,0.23301681649897485,0.2251935131213114,,
