Tag,Distance_Center,Nationality_Italy,Nationality_Spain,Nationality_UK,POI_Restaurants_Hotels,POI_Education,Intercept
01_045,,,,,0.37253124589501313,,
01_046,,,-0.19870035223804525,,0.36180665023584185,,
01_047,,,-0.21268953459511974,,0.36353173885329415,,
01_048,,,-0.2038630157126034,,0.37618279845913366,,
01_049,,,-0.22079219674850287,,0.3675009541727407,,
01_050,,,-0.22791770835928427,,0.36530884733038077,,
01_051,,,-0.22476324180472876,,0.37911803161646723,,
01_052,,,-0.23594920908607114,,0.37667220870102786,,
01_053,,,,,0.38166403440159,,
01_054,,,,,0.38094609709262844,,
01_055,,,,,0.3782740961139497,,
02_001,,,,,0.3617392659122507,,0.32850544436568
02_002,,,,,0.3749944440065297,,0.3897631134518189
02_003,,,,,0.3600600042942879,,0.3069284480306576
02_004,,,,,0.37087587132891836,,0.3368135589309948
02_005,,,,,0.3795884962943962,,0.4018938822131016
02_006,,,,,0.387493142952297,,0.45514093260208116
02_007,,,,,0.3854869940970039,,0.43479906700478266
02_008,,,,,0.37584843923202954,,0.3580076910260779
02_009,,,,,0.3696841826188803,,0.2938282941195342
02_010,-0.31331181986763407,,,,0.36919717145733255,,0.24551267468702248
02_011,-0.2996406725822483,,,,0.36003632921273837,,0.24134266073318492
02_012,-0.2947879908698927,,,,0.3411495454859092,,0.23124267078972477
02_013,-0.362382771586592,,,,0.3507907203014016,,
02_014,-0.426939428781649,,,,0.36457518925041726,,
02_015,-0.375553173336219,,,,0.37198580870492287,,
02_016,,,,,0.37416870454048007,,0.2974656079330882
02_017,,,,,0.3731523469863297,,0.3687968845221631
02_018,,,,,0.3663999304141669,,0.3645998098919364
02_019,,,,,0.36815474050958147,,0.3351739845519265
02_020,-0.3264673228857678,,,,0.37185332225700185,,0.2847227560480169
02_021,-0.4318814732252577,,,,0.36988781684675137,,
02_022,-0.5261028099474796,,,,0.35989817680396785,,
02_023,-0.5162806253029316,,,,0.36481451072251775,,
02_024,-0.38752489091256176,,,,0.37019773803384626,,0.2381317369784132
02_025,-0.48699287816861336,,,,0.3661064723297923,,
02_026,-0.4485858178726315,,,,0.36631264198767216,,
02_027,-0.5224769105663026,,,,0.35762244765459006,,
02_028,-0.5508270533418078,,,,0.3616230867066404,,
02_029,-0.5495603237603119,,,,0.3642426241585804,,
02_030,-0.6115244209906932,,,,0.357745328105032,,
02_031,-0.6493158558973662,,,,0.355444805584005,,
02_032,-0.6544696086649897,,,,0.35389250886280277,,
02_033,-0.6581400214491144,,,,0.3518780408752252,,
02_034,-0.5849903989570022,,,,0.35155058236550185,,
02_035,-0.5202628895969684,,,,0.3506111359561325,,
02_036,-0.5913948731960955,,,,0.3432040775551,,
02_037,-0.682042931890313,,,,0.3410438535013932,,
02_038,-0.7535519852335972,,,,0.3368366721057217,,
02_039,-0.677330298845056,,,,0.32969642066672594,,
02_040,-0.7367427889951444,,,,0.29937090063380944,,
02_041,-0.6414591617024518,,,,0.30823058485260807,,
02_042,-0.5319976649774448,,,,0.3124915377207466,,
02_043,-0.45184321410142264,,,,0.30465113069285366,,
02_044,-0.4459332348573929,,,,0.3228713031785287,,
02_045,-0.5048015708255924,,,,0.3309353856041457,,
