Tag,Distance_Center,Education_University,Nationality_Italy,Nationality_UK,Nationality_Spain,POI_Restaurants_Hotels,Intercept
02_100,,,,,,0.279715078930205,
02_101,-0.4516357924476216,,,,,0.2883553431548548,
02_102,-0.44713771199699953,,,,,0.2908051216172345,
02_103,-0.5026832489645062,,,,,0.30341439665528974,
02_104,-0.5502845056810503,,,,,0.3261503744317322,
02_105,-0.4861069038164594,,,,,0.3071095794873403,
02_106,-0.469135692634602,,,,,0.30453886069001423,
02_107,-0.5262518456869135,,,,,0.3244297665025557,
02_108,-0.5853000639611066,,,,,0.3407288465410285,
02_109,-0.639520969883412,,,,,0.3408013670591328,
02_110,-0.6069541101581861,,,,,0.33032785306079426,
02_111,-0.6634299421822184,,,,,0.30897420816856125,
02_112,-0.638254277798579,-0.3173871339013049,,,,0.28000597306785496,
02_113,-0.6085634519442241,,,,,0.3000482189057618,
02_114,-0.5603116143218225,,,,,0.29843843637568074,
02_115,-0.5284001637194792,,,,,0.30211854798997867,
02_116,-0.5355755740389634,,,,,0.3102081806435104,
02_117,-0.5283843452495729,,,,,0.31000311542371634,
02_118,-0.46906544112587994,,,,,0.2855787185275845,
02_119,-0.5008646143899834,,,,,0.29858627806484356,
02_120,-0.5004706271218383,,,,,0.2932927128678662,
02_121,-0.4670417371244206,,,,,0.28487153764023215,
02_122,-0.4916352065581449,,,,,0.28517885569157553,
02_123,-0.5227069833422635,,,,,0.28768401457556003,
02_124,-0.5558941594685461,,,,,0.2645477394766306,
02_125,-0.5898771780472132,-0.32714454480563826,,,,0.2542600988945569,
02_126,-0.5376580631534241,-0.341254129317583,,,,0.23540598105427482,
02_127,-0.5093605600586504,-0.34825174281104754,,,,0.2406081927797576,
02_128,-0.48186183705754515,,,,,0.2723315068688236,
02_129,-0.48297719210267764,-0.3573034153001351,,,,0.24728664156670055,
02_130,-0.4667162283130358,-0.3726123379013963,,,,0.2377299553744751,
02_131,,-0.37042562520669886,,,,0.2580208271698877,
02_132,-0.41428596250460054,-0.3552509880895285,,,,0.26316587890189247,
02_133,-0.45880064818084965,-0.366108766632941,,,,0.24961591307638967,
02_134,-0.4508187215600291,-0.3531105942135829,,,,0.2638371708106233,
02_135,-0.4177392018152411,,,,,0.2723762472490567,
02_136,-0.4488901892028378,,,,,0.27287704511349653,
02_137,-0.4321072431287322,,,,,0.2778382936084937,
02_138,-0.4183373960476082,,,,,0.27821984306993036,
02_139,,,,,,0.270628974517733,
02_140,,,,,,0.27148535274759655,
02_141,,,,,,0.2754218961632982,
02_142,,,,,,0.2691129287526345,
02_143,,,,,,0.26134294524372925,
02_144,,,,,,0.2525796876238857,
02_145,,,,,,0.2589316673086829,
02_146,,,,,,0.2683611900353349,
02_147,,,,,,0.27665702397193953,
02_148,,-0.3174688555196094,,,,0.27660189744364766,
02_149,,,,,,0.2809692536210198,
02_150,,,,,,0.27053780941742817,
02_151,,,,,,0.25991074111483004,
02_152,,,,,,0.2566253353540221,
02_153,,,,,,0.24586423828872855,
02_154,,,,,,0.24457197749763188,
02_155,,,,,,0.2360584081507408,
02_156,,,,,,0.23192252602986274,
02_157,,,,,,0.23633427475886645,
02_158,,,,,,0.24112010810632079,
02_159,,,,,,0.24884372486066644,
02_160,,,,,,0.24396927101660917,
02_161,,,,,,0.2391618702024595,
02_162,,,,,,0.23636648022493248,
02_163,,,,,,0.24425138988710665,
02_164,,,,,,0.26617623452937383,
02_165,,,,,,0.24031181590906717,
02_166,,,,,,0.23432017302412614,
02_167,,,,,,0.23417788991447827,
02_168,,,,,,0.22769254335877595,
02_169,,,,,,0.22710133282924427,
02_170,,,,,,0.2292588622031605,
02_171,,,,,,0.22344589049232733,
02_172,,,,,,0.2248653361988631,
02_173,,,,,,0.2269350888917557,
03_001,,,,,,0.23044933592870137,
03_002,,,,,,0.22971714264922719,
03_003,,,,,,0.23485769504645906,
03_004,,,,,,0.24152409735278696,
03_005,,,,,,0.22857163287091137,0.3266594998429515
03_006,,,,,,0.22191341279779533,
03_007,,,,,,0.22649156397988773,
03_008,,,,,,0.2252418871278506,
03_009,,,,,,0.22534303130083508,
03_010,,,,,,0.22208594852262292,
03_011,,,,,,0.22108496410567346,
03_012,,,,,,0.2224434410215928,
03_013,,,,,,0.22008395784395585,
03_014,,,,,,0.22175035464212642,
03_015,,,,,,0.22617148164772172,
03_016,,,,,,0.23322419478504028,
03_017,,,,,,0.22429492479424326,
03_018,,,,,,0.23001081451395594,
03_019,,,,,,0.24769896503450187,
03_020,,,,,,0.2715366093748808,
03_021,,,,,,0.2524492991201654,
03_022,,,,,,0.2324807512205985,
03_023,,,,,,0.21997417631775876,
03_024,,,0.3732874316651847,,,,0.27319850691019
03_025,,,,0.3130175851759847,,0.22573185661482129,0.41104240286466487
03_026,,,,0.2670620658922926,,0.19981846584880375,0.3349057809216728
03_027,,,,0.2558449472578898,,0.19028579310220164,0.3212554814033125
03_028,,,,0.2440373466941198,,,0.3100128564197747
03_029,,,,0.25496011853815226,,,0.3344498654506473
03_030,,,,0.2570081703195995,,,0.35418434036007634
03_031,,,,,,,0.37130566120598296
03_032,,,,,,,0.38867046946827577
03_033,,,,,,,0.3487975326885082
03_034,,,,,,,0.35368273988370724
03_035,,,,,,,0.3268778920132518
03_036,,,,,,,0.29436548553921393
03_037,,,,,,,0.3305310714678346
03_038,,,0.34913775870603214,,,,0.35436160690494056
03_039,,,,,,,0.31886176151255247
03_040,,,0.3336915342677068,,,,0.2864799322771737
