Sexo;Sección;Edad (grupos quinquenales);Total
Ambos Sexos;0801904045;Total;1.418
Ambos Sexos;0801904046;Total;2.454
Ambos Sexos;0801904047;Total;1.745
Ambos Sexos;0801904048;Total;1.519
Ambos Sexos;0801904049;Total;1.176
Ambos Sexos;0801904050;Total;2.085
Ambos Sexos;0801904051;Total;1.633
Ambos Sexos;0801904052;Total;2.189
Ambos Sexos;0801904053;Total;1.699
Ambos Sexos;0801904054;Total;1.080
Ambos Sexos;0801904055;Total;1.593
Ambos Sexos;0801904056;Total;1.797
Ambos Sexos;0801904084;Total;1.375
Ambos Sexos;0801905001;Total;1.744
Ambos Sexos;0801905002;Total;1.544
Ambos Sexos;0801905003;Total;1.382
Ambos Sexos;0801905004;Total;1.092
Ambos Sexos;0801905005;Total;1.192
Ambos Sexos;0801905006;Total;1.779
Ambos Sexos;0801905007;Total;1.718
Ambos Sexos;0801905008;Total;1.638
Ambos Sexos;0801905009;Total;1.725
Ambos Sexos;0801905010;Total;1.610
Ambos Sexos;0801905011;Total;1.408
Ambos Sexos;0801905012;Total;1.392
Ambos Sexos;0801905013;Total;1.699
Ambos Sexos;0801905014;Total;1.723
Ambos Sexos;0801905015;Total;1.605
Ambos Sexos;0801905016;Total;1.891
Ambos Sexos;0801905017;Total;1.596
Ambos Sexos;0801905018;Total;1.239
Ambos Sexos;0801905019;Total;1.725
Ambos Sexos;0801905020;Total;1.136
Ambos Sexos;0801905021;Total;1.382
Ambos Sexos;0801905022;Total;1.792
Ambos Sexos;0801905023;Total;1.479
Ambos Sexos;0801905024;Total;1.906
Ambos Sexos;0801905025;Total;1.377
Ambos Sexos;0801905026;Total;1.453
Ambos Sexos;0801905027;Total;1.413
Ambos Sexos;0801905028;Total;1.621
Ambos Sexos;0801905029;Total;1.703
Ambos Sexos;0801905030;Total;1.405
Ambos Sexos;0801905031;Total;1.657
Ambos Sexos;0801905032;Total;1.849
Ambos Sexos;0801905033;Total;1.362
Ambos Sexos;0801905034;Total;1.232
Ambos Sexos;0801905035;Total;1.086
Ambos Sexos;0801905036;Total;1.746
Ambos Sexos;0801905037;Total;1.421
Ambos Sexos;0801905038;Total;1.306
Ambos Sexos;0801905039;Total;1.545
