"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Edat any a any","Nombre"
2017,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","1 any",28
2017,7,"Horta-Guinardó",42,"la Clota","Home","1 any",6
2017,7,"Horta-Guinardó",43,"Horta","Home","1 any",105
2017,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home","1 any",105
2017,8,"Nou Barris",45,"Porta","Home","1 any",107
2017,8,"Nou Barris",46,"el Turó de la Peira","Home","1 any",72
2017,8,"Nou Barris",47,"Can Peguera","Home","1 any",8
2017,8,"Nou Barris",48,"la Guineueta","Home","1 any",64
2017,8,"Nou Barris",49,"Canyelles","Home","1 any",32
2017,8,"Nou Barris",50,"les Roquetes","Home","1 any",72
2017,8,"Nou Barris",51,"Verdun","Home","1 any",54
2017,8,"Nou Barris",52,"la Prosperitat","Home","1 any",123
2017,8,"Nou Barris",53,"la Trinitat Nova","Home","1 any",43
2017,8,"Nou Barris",54,"Torre Baró","Home","1 any",17
2017,8,"Nou Barris",55,"Ciutat Meridiana","Home","1 any",67
2017,8,"Nou Barris",56,"Vallbona","Home","1 any",6
2017,9,"Sant Andreu",57,"la Trinitat Vella","Home","1 any",47
2017,9,"Sant Andreu",58,"Baró de Viver","Home","1 any",16
2017,9,"Sant Andreu",59,"el Bon Pastor","Home","1 any",63
2017,9,"Sant Andreu",60,"Sant Andreu","Home","1 any",238
2017,9,"Sant Andreu",61,"la Sagrera","Home","1 any",133
2017,9,"Sant Andreu",62,"el Congrés i els Indians","Home","1 any",60
2017,9,"Sant Andreu",63,"Navas","Home","1 any",94
2017,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Home","1 any",159
2017,10,"Sant Martí",65,"el Clot","Home","1 any",120
2017,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Home","1 any",89
2017,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Home","1 any",51
2017,10,"Sant Martí",68,"el Poblenou","Home","1 any",171
2017,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Home","1 any",99
2017,10,"Sant Martí",70,"el Besòs i el Maresme","Home","1 any",99
2017,10,"Sant Martí",71,"Provençals del Poblenou","Home","1 any",97
2017,10,"Sant Martí",72,"Sant Martí de Provençals","Home","1 any",93
2017,10,"Sant Martí",73,"la Verneda i la Pau","Home","1 any",119
2017,1,"Ciutat Vella",1,"el Raval","Home","2 anys",213
2017,1,"Ciutat Vella",2,"el Barri Gòtic","Home","2 anys",37
2017,1,"Ciutat Vella",3,"la Barceloneta","Home","2 anys",39
2017,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","2 anys",87
2017,2,"Eixample",5,"el Fort Pienc","Home","2 anys",132
2017,2,"Eixample",6,"la Sagrada Família","Home","2 anys",193
2017,2,"Eixample",7,"la Dreta de l'Eixample","Home","2 anys",194
2017,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","2 anys",155
2017,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","2 anys",230
2017,2,"Eixample",10,"Sant Antoni","Home","2 anys",159
2017,3,"Sants-Montjuïc",11,"el Poble Sec","Home","2 anys",200
2017,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","2 anys",6
2017,3,"Sants-Montjuïc",13,"la Marina de Port","Home","2 anys",117
2017,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","2 anys",38
2017,3,"Sants-Montjuïc",15,"Hostafrancs","Home","2 anys",72
2017,3,"Sants-Montjuïc",16,"la Bordeta","Home","2 anys",63
2017,3,"Sants-Montjuïc",17,"Sants - Badal","Home","2 anys",80
2017,3,"Sants-Montjuïc",18,"Sants","Home","2 anys",187
2017,4,"Les Corts",19,"les Corts","Home","2 anys",190
2017,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","2 anys",103
2017,4,"Les Corts",21,"Pedralbes","Home","2 anys",56
2017,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","2 anys",28
2017,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","2 anys",172
2017,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","2 anys",83
2017,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","2 anys",138
2017,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","2 anys",180
2017,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","2 anys",119
2017,6,"Gràcia",28,"Vallcarca i els Penitents","Home","2 anys",72
2017,6,"Gràcia",29,"el Coll","Home","2 anys",41
2017,6,"Gràcia",30,"la Salut","Home","2 anys",64
2017,6,"Gràcia",31,"la Vila de Gràcia","Home","2 anys",226
2017,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","2 anys",128
2017,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","2 anys",92
2017,7,"Horta-Guinardó",34,"Can Baró","Home","2 anys",26
2017,7,"Horta-Guinardó",35,"el Guinardó","Home","2 anys",162
2017,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","2 anys",40
2017,7,"Horta-Guinardó",37,"el Carmel","Home","2 anys",139
2017,7,"Horta-Guinardó",38,"la Teixonera","Home","2 anys",50
2017,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","2 anys",20
2017,7,"Horta-Guinardó",40,"Montbau","Home","2 anys",14
2017,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","2 anys",24
2017,7,"Horta-Guinardó",42,"la Clota","Home","2 anys",9
2017,7,"Horta-Guinardó",43,"Horta","Home","2 anys",102
2017,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home","2 anys",109
2017,8,"Nou Barris",45,"Porta","Home","2 anys",117
2017,8,"Nou Barris",46,"el Turó de la Peira","Home","2 anys",74
2017,8,"Nou Barris",47,"Can Peguera","Home","2 anys",4
2017,8,"Nou Barris",48,"la Guineueta","Home","2 anys",52
2017,8,"Nou Barris",49,"Canyelles","Home","2 anys",26
2017,8,"Nou Barris",50,"les Roquetes","Home","2 anys",73
2017,8,"Nou Barris",51,"Verdun","Home","2 anys",58
2017,8,"Nou Barris",52,"la Prosperitat","Home","2 anys",110
2017,8,"Nou Barris",53,"la Trinitat Nova","Home","2 anys",33
2017,8,"Nou Barris",54,"Torre Baró","Home","2 anys",15
2017,8,"Nou Barris",55,"Ciutat Meridiana","Home","2 anys",56
2017,8,"Nou Barris",56,"Vallbona","Home","2 anys",11
2017,9,"Sant Andreu",57,"la Trinitat Vella","Home","2 anys",68
2017,9,"Sant Andreu",58,"Baró de Viver","Home","2 anys",12
2017,9,"Sant Andreu",59,"el Bon Pastor","Home","2 anys",80
2017,9,"Sant Andreu",60,"Sant Andreu","Home","2 anys",281
2017,9,"Sant Andreu",61,"la Sagrera","Home","2 anys",144
2017,9,"Sant Andreu",62,"el Congrés i els Indians","Home","2 anys",72
2017,9,"Sant Andreu",63,"Navas","Home","2 anys",89
2017,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Home","2 anys",130
2017,10,"Sant Martí",65,"el Clot","Home","2 anys",98
2017,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Home","2 anys",72
2017,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Home","2 anys",55
2017,10,"Sant Martí",68,"el Poblenou","Home","2 anys",202
2017,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Home","2 anys",93
2017,10,"Sant Martí",70,"el Besòs i el Maresme","Home","2 anys",129
2017,10,"Sant Martí",71,"Provençals del Poblenou","Home","2 anys",98
2017,10,"Sant Martí",72,"Sant Martí de Provençals","Home","2 anys",100
2017,10,"Sant Martí",73,"la Verneda i la Pau","Home","2 anys",98
2017,1,"Ciutat Vella",1,"el Raval","Home","3 anys",198
2017,1,"Ciutat Vella",2,"el Barri Gòtic","Home","3 anys",51
2017,1,"Ciutat Vella",3,"la Barceloneta","Home","3 anys",48
2017,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","3 anys",82
2017,2,"Eixample",5,"el Fort Pienc","Home","3 anys",107
2017,2,"Eixample",6,"la Sagrada Família","Home","3 anys",171
2017,2,"Eixample",7,"la Dreta de l'Eixample","Home","3 anys",198
